l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Jonathan Goulet,Dustin Hazelett,Dustin Hazelett,0,1,7,1.916667,-2.539993,0,-7.619995,16,Orthodox vs Orthodox,-7,1.714286,2.539993,0,7.619995,-16,Orthodox vs Orthodox,Welterweight
Jonathan Goulet,Jay Hieron,Jonathan Goulet,1,0,-3,1.916667,0,0,-5.080002,5,Orthodox vs Orthodox,3,3.285714,0,0,5.080002,-5,Orthodox vs Orthodox,Welterweight
Jonathan Goulet,Mike Swick,Mike Swick,0,1,0,1.916667,-2.539993,0,-10.16,14,Orthodox vs Orthodox,0,2.5,2.539993,0,10.16,-14,Orthodox vs Orthodox,Welterweight
Jonathan Goulet,Duane Ludwig,Duane Ludwig,0,1,-1,1.916667,5.080002,0,7.619995,0,Orthodox vs Orthodox,1,1.5,-5.080002,0,-7.619995,0,Orthodox vs Orthodox,Welterweight
Jonathan Martinez,Vince Morales,Jonathan Martinez,1,0,-3,4.5,-2.539993,0,0,4,Southpaw vs Orthodox,3,1.571429,2.539993,0,0,-4,Orthodox vs Southpaw,Bantamweight
Jonathan Martinez,Alejandro Perez,Jonathan Martinez,1,0,-5,4.5,5.080002,0,7.62001,-10,Southpaw vs Orthodox,5,2.555556,-5.080002,0,-7.62001,10,Orthodox vs Southpaw,Featherweight
Jonathan Martinez,Said Nurmagomedov,Jonathan Martinez,1,0,-2,4.5,0,0,0,2,Southpaw vs Orthodox,2,5.666667,0,0,0,-2,Orthodox vs Southpaw,Bantamweight
Jonathan Martinez,Andre Soukhamthath,Andre Soukhamthath,0,1,-6,4.5,-2.539993,0,0,1,Southpaw vs Orthodox,6,1.625,2.539993,0,0,-1,Orthodox vs Southpaw,Bantamweight
Jonathan Martinez,Frankie Saenz,Jonathan Martinez,1,0,-13,4.5,5.080002,0,10.16,2,Southpaw vs Orthodox,13,1.857143,-5.080002,0,-10.16,-2,Orthodox vs Southpaw,Bantamweight
Jonathan Martinez,Cub Swanson,Jonathan Martinez,1,0,-10,4.5,0,-10,0,-20,Southpaw vs Orthodox,10,2.230769,0,10,0,20,Orthodox vs Southpaw,Bantamweight
Jonathan Meunier,Richard Walsh,Jonathan Meunier,1,0,2,8,7.619995,0,,-5,Switch vs Orthodox,-2,1.8,-7.619995,0,,5,Orthodox vs Switch,Welterweight
Jonathan Pearce,Christian Rodriguez,Jonathan Pearce,1,0,5,3.5,12.70001,10,0,8,Switch vs Orthodox,-5,9,-12.70001,-10,0,-8,Orthodox vs Switch,Featherweight
Jonny Parsons,Danny Roberts,Jonny Parsons,1,0,-5,4.5,-10.16,0,-12.70001,-15,Orthodox vs Southpaw,5,2.25,10.16,0,12.70001,15,Southpaw vs Orthodox,Welterweight
Jordan Espinosa,Alex Perez,Alex Perez,0,1,3,1.666667,0,0,10.15999,-7,Orthodox vs Orthodox,-3,3.428571,0,0,-10.15999,7,Orthodox vs Orthodox,Flyweight
Jordan Espinosa,Matt Schnell,Matt Schnell,0,1,0,1.666667,-5.080002,0,-2.540009,1,Orthodox vs Orthodox,0,2.285714,5.080002,0,2.540009,-1,Orthodox vs Orthodox,Flyweight
Jordan Espinosa,Eric Shelton,Jordan Espinosa,1,0,1,1.666667,0,0,2.539993,6,Orthodox vs Orthodox,-1,2,0,0,-2.539993,-6,Orthodox vs Orthodox,Flyweight
Jordan Griffin,Chas Skelly,Chas Skelly,0,1,-5,2,-2.539993,0,2.539993,5,Southpaw vs Orthodox,5,6.333333,2.539993,0,-2.539993,-5,Orthodox vs Southpaw,Featherweight
Jordan Griffin,Luis Saldana,Luis Saldana,0,1,1,2,-2.539993,0,0,4,Southpaw vs Orthodox,-1,2.285714,2.539993,0,0,-4,Orthodox vs Southpaw,Featherweight
Jordan Griffin,Youssef Zalal,Youssef Zalal,0,1,7,2,0,10,2.539993,12,Southpaw vs Switch,-7,2,0,-10,-2.539993,-12,Switch vs Southpaw,Featherweight
Jordan Griffin,Dan Ige,Dan Ige,0,1,1,2,7.62001,0,5.080002,3,Southpaw vs Orthodox,-1,2.428571,-7.62001,0,-5.080002,-3,Orthodox vs Southpaw,Featherweight
Jordan Johnson,Adam Yandiev,Jordan Johnson,1,0,-1,10,12.70001,20,12.7,0,Orthodox vs Orthodox,1,9,-12.70001,-20,-12.7,0,Orthodox vs Orthodox,Middleweight
Jordan Johnson,Adam Milstead,Jordan Johnson,1,0,-1,10,-2.539993,0,7.62001,-2,Orthodox vs Orthodox,1,2,2.539993,0,-7.62001,2,Orthodox vs Orthodox,Light Heavyweight
Jordan Leavitt,Matt Wiman,Jordan Leavitt,1,0,-12,5.5,-2.540009,0,7.619995,-13,Southpaw vs Orthodox,12,1.6,2.540009,0,-7.619995,13,Orthodox vs Southpaw,Lightweight
Jordan Leavitt,Claudio Puelles,Claudio Puelles,0,1,1,5.5,-2.540009,0,-2.540009,-3,Southpaw vs Southpaw,-1,4.333333,2.540009,0,2.540009,3,Southpaw vs Southpaw,Lightweight
Jordan Leavitt,Paddy Pimblett,Paddy Pimblett,0,1,0,5.5,-2.540009,0,-5.080002,-10,Southpaw vs Orthodox,0,6.666667,2.540009,0,5.080002,10,Orthodox vs Southpaw,Lightweight
Jordan Leavitt,Victor Martinez,Jordan Leavitt,1,0,-4,5.5,2.539993,0,2.539993,-5,Southpaw vs Orthodox,4,2.6,-2.539993,0,-2.539993,5,Orthodox vs Southpaw,Lightweight
Jordan Leavitt,Matt Sayles,Jordan Leavitt,1,0,-1,5.5,5.080002,0,7.619995,1,Southpaw vs Orthodox,1,2,-5.080002,0,-7.619995,-1,Orthodox vs Southpaw,Lightweight
Jordan Leavitt,Trey Ogden,Jordan Leavitt,1,0,-6,5.5,-5.080002,0,-2.540009,-9,Southpaw vs Orthodox,6,2.666667,5.080002,0,2.540009,9,Orthodox vs Southpaw,Lightweight
Jordan Mein,Erick Silva,Jordan Mein,1,0,-5,2.583333,0,0,-2.540009,15,Orthodox vs Orthodox,5,2.111111,0,0,2.540009,-15,Orthodox vs Orthodox,Welterweight
Jordan Mein,Mike Pyle,Jordan Mein,1,0,-14,2.583333,0,0,-2.540009,2,Orthodox vs Orthodox,14,1.928571,0,0,2.540009,-2,Orthodox vs Orthodox,Welterweight
Jordan Mein,Alex Morono,Jordan Mein,1,0,1,2.583333,2.540009,0,2.539993,12,Orthodox vs Orthodox,-1,2.875,-2.540009,0,-2.539993,-12,Orthodox vs Orthodox,Welterweight
Jordan Mein,Hernani Perpetuo,Jordan Mein,1,0,-4,2.583333,0,0,,20,Orthodox vs Orthodox,4,3.6,0,0,,-20,Orthodox vs Orthodox,Welterweight
Jordan Mein,Belal Muhammad,Belal Muhammad,0,1,-1,2.583333,2.540009,0,2.539993,17,Orthodox vs Orthodox,1,7.666667,-2.540009,0,-2.539993,-17,Orthodox vs Orthodox,Welterweight
Jordan Mein,Dan Miller,Jordan Mein,1,0,-8,2.583333,-2.539993,-15,-2.540009,21,Orthodox vs Orthodox,8,1.75,2.539993,15,2.540009,-21,Orthodox vs Orthodox,Welterweight
Jordan Rinaldi,Abel Trujillo,Abel Trujillo,0,1,-4,2,5.080002,-10,5.080002,-2,Orthodox vs Orthodox,4,1.875,-5.080002,10,-5.080002,2,Orthodox vs Orthodox,Lightweight
Jorge de Oliveira,Christos Giagos,Christos Giagos,0,1,10,4.5,-5.080002,0,,-20,Orthodox vs Orthodox,-10,1.818182,5.080002,0,,20,Orthodox vs Orthodox,Lightweight
Jorge de Oliveira,Dhiego Lima,Dhiego Lima,0,1,9,4.5,-15.24001,-15,,-15,Orthodox vs Orthodox,-9,1.888889,15.24001,15,,15,Orthodox vs Orthodox,Welterweight
Jorge Gurgel,Cole Miller,Cole Miller,0,1,7,1.4,-15.24001,10,-10.16,-8,Orthodox vs Orthodox,-7,1.909091,15.24001,-10,10.16,8,Orthodox vs Orthodox,Lightweight
Jorge Gurgel,Aaron Riley,Aaron Riley,0,1,4,1.4,-2.540009,0,0,-20,Orthodox vs Southpaw,-4,2.142857,2.540009,0,0,20,Southpaw vs Orthodox,Lightweight
Jorge Gurgel,Mark Hominick,Mark Hominick,0,1,6,1.4,-2.540009,10,2.539993,-8,Orthodox vs Orthodox,-6,1.666667,2.540009,-10,-2.539993,8,Orthodox vs Orthodox,Lightweight
