l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Jessica Andrade,Angela Hill,Jessica Andrade,0,342,148,322,131,3,2,0,0,1,220,99,209,89,0,0,0,0,95,6,Decision,3,3,5:00,1,0
Jessica Andrade,Claudia Gadelha,Jessica Andrade,0,355,242,241,141,7,4,0,0,0,96,47,91,42,7,0,2,0,515,8,Decision,3,3,5:00,1,0
Jessica Andrade,Larissa Pacheco,Jessica Andrade,0,52,44,24,19,1,1,2,0,0,18,11,13,6,1,0,0,0,261,0,Submission,3,1,4:33,1,0
Jessica Andrade,Amanda Lemos,Jessica Andrade,0,9,3,9,3,1,0,1,0,0,17,7,17,7,0,0,0,0,38,0,Submission,5,1,3:13,1,0
Jessica Andrade,Raquel Pennington,Jessica Andrade,0,185,90,158,66,8,3,0,0,0,172,87,167,82,3,2,2,0,380,80,Decision,3,3,5:00,1,0
Jessica Andrade,Jessica Penne,Jessica Andrade,0,206,118,205,117,0,0,0,0,0,92,28,91,27,6,0,0,0,32,0,KO/TKO,3,2,2:56,1,0
Jessica Andrade,Rose Namajunas,Rose Namajunas,0,213,79,205,71,3,1,0,0,0,235,82,235,82,1,0,0,0,29,0,Decision,3,3,5:00,0,1
Jessica Andrade,Karolina Kowalkiewicz,Jessica Andrade,1,74,39,73,38,0,0,0,0,0,58,25,56,24,0,0,0,0,1,0,KO/TKO,3,1,1:58,1,0
Jessica Andrade,Yan Xiaonan,Yan Xiaonan,0,32,12,32,12,0,0,0,0,1,36,26,36,26,0,0,0,0,0,2,KO/TKO,3,1,2:20,0,1
Jessica Andrade,Marion Reneau,Marion Reneau,1,21,8,15,6,0,0,0,0,0,20,9,16,6,0,0,1,0,62,0,Submission,3,1,1:54,0,1
Jessica Andrade,Cynthia Calvillo,Jessica Andrade,0,86,48,86,48,0,0,0,0,0,75,27,75,27,0,0,0,0,0,0,KO/TKO,3,1,4:54,1,0
Jessica Andrade,Tatiana Suarez,Tatiana Suarez,0,31,13,29,11,0,0,0,0,0,51,25,49,23,3,3,1,0,17,142,Submission,3,2,1:31,0,1
Jessica Andrade,Erin Blanchfield,Erin Blanchfield,0,147,56,143,53,1,0,0,0,0,124,53,120,51,3,1,1,0,0,63,Submission,5,2,1:37,0,1
Jessica Andrade,Katlyn Chookagian,Jessica Andrade,1,79,62,43,28,3,2,0,0,0,61,27,53,19,0,0,0,0,146,25,KO/TKO,3,1,4:55,1,0
Jessica Andrade,Lauren Murphy,Jessica Andrade,0,375,237,369,231,1,1,0,0,0,296,103,293,100,15,0,0,0,71,9,Decision,3,3,5:00,1,0
Jessica Andrade,Raquel Pennington,Raquel Pennington,0,87,59,66,41,5,4,1,0,0,96,66,68,41,2,2,1,0,208,184,Submission,3,2,4:58,0,1
Jessica Andrade,Zhang Weili,Zhang Weili,0,12,4,12,4,0,0,0,0,1,38,29,38,29,0,0,0,0,5,1,KO/TKO,5,1,0:42,0,1
