_id,Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
146,2014,0500000US51149,Prince George County,Virginia,51,149,61071,3301
147,2014,0500000US51159,Richmond County,Virginia,51,159,47199,4654
148,2014,0500000US51169,Scott County,Virginia,51,169,36579,2756
149,2014,0500000US51177,Spotsylvania County,Virginia,51,177,78505,2156
150,2014,0500000US51011,Appomattox County,Virginia,51,11,47927,3002
151,2014,0500000US51067,Franklin County,Virginia,51,67,44827,2817
152,2014,0500000US51049,Cumberland County,Virginia,51,49,41484,5959
153,2014,0500000US51097,King and Queen County,Virginia,51,97,47804,3103
154,2014,0500000US51121,Montgomery County,Virginia,51,121,44810,2199
155,2014,0500000US51127,New Kent County,Virginia,51,127,73030,5344
156,2014,0500000US51051,Dickenson County,Virginia,51,51,33106,2226
157,2014,0500000US51083,Halifax County,Virginia,51,83,35093,2059
158,2014,0500000US51107,Loudoun County,Virginia,51,107,123966,1443
159,2014,0500000US51153,Prince William County,Virginia,51,153,98514,1689
160,2014,0500000US51175,Southampton County,Virginia,51,175,49690,4434
161,2014,0500000US51091,Highland County,Virginia,51,91,44132,5784
162,2014,0500000US51033,Caroline County,Virginia,51,33,58417,3012
163,2014,0500000US51073,Gloucester County,Virginia,51,73,60980,4774
164,2014,0500000US51141,Patrick County,Virginia,51,141,34753,2684
165,2014,0500000US51145,Powhatan County,Virginia,51,145,75447,4434
166,2014,0500000US51171,Shenandoah County,Virginia,51,171,47936,2949
167,2014,0500000US51061,Fauquier County,Virginia,51,61,92078,3739
168,2014,0500000US51790,Staunton city,Virginia,51,790,39982,2611
169,2014,0500000US51065,Fluvanna County,Virginia,51,65,64641,2895
170,2014,0500000US51007,Amelia County,Virginia,51,7,55870,6467
171,2014,0500000US51750,Radford city,Virginia,51,750,30284,6026
172,2014,0500000US51840,Winchester city,Virginia,51,840,44731,2463
173,2014,0500000US51001,Accomack County,Virginia,51,1,39389,2682
174,2014,0500000US51045,Craig County,Virginia,51,45,46658,7656
175,2014,0500000US51063,Floyd County,Virginia,51,63,47543,4382
176,2014,0500000US51071,Giles County,Virginia,51,71,45919,2245
177,2014,0500000US51077,Grayson County,Virginia,51,77,28892,1738
178,2014,0500000US51135,Nottoway County,Virginia,51,135,35911,3365
179,2014,0500000US51157,Rappahannock County,Virginia,51,157,59753,4922
180,2014,0500000US51036,Charles City County,Virginia,51,36,48088,3539
181,2014,0500000US51047,Culpeper County,Virginia,51,47,65235,3402
182,2014,0500000US51053,Dinwiddie County,Virginia,51,53,52328,2521
183,2014,0500000US51079,Greene County,Virginia,51,79,63739,5386
184,2014,0500000US51085,Hanover County,Virginia,51,85,77550,2122
185,2014,0500000US51111,Lunenburg County,Virginia,51,111,37881,3376
186,2014,0500000US51137,Orange County,Virginia,51,137,63538,3159
187,2014,0500000US51595,Emporia city,Virginia,51,595,30240,6273
188,2014,0500000US51197,Wythe County,Virginia,51,197,40185,2450
189,2014,0500000US51550,Chesapeake city,Virginia,51,550,70176,1583
190,2014,0500000US51660,Harrisonburg city,Virginia,51,660,38807,2285
191,2014,0500000US51003,Albemarle County,Virginia,51,3,67958,3606
192,2014,0500000US51019,Bedford County,Virginia,51,19,56043,1550
193,2014,0500000US51029,Buckingham County,Virginia,51,29,38484,3145
194,2014,0500000US51195,Wise County,Virginia,51,195,37357,2403
195,2014,0500000US51580,Covington city,Virginia,51,580,38176,4946
196,2014,0500000US51740,Portsmouth city,Virginia,51,740,46239,1421
197,2014,0500000US51810,Virginia Beach city,Virginia,51,810,67001,938
198,2014,0500000US51005,Alleghany County,Virginia,51,5,45183,2986
199,2014,0500000US51640,Galax city,Virginia,51,640,30430,4273
200,2014,0500000US51193,Westmoreland County,Virginia,51,193,48750,6400
201,2014,0500000US51133,Northumberland County,Virginia,51,133,50774,3849
202,2014,0500000US51155,Pulaski County,Virginia,51,155,45635,2909
203,2014,0500000US51187,Warren County,Virginia,51,187,60560,4674
204,2014,0500000US51017,Bath County,Virginia,51,17,46153,5766
205,2014,0500000US51590,Danville city,Virginia,51,590,32173,1426
206,2014,0500000US51630,Fredericksburg city,Virginia,51,630,49454,3074
207,2014,0500000US51009,Amherst County,Virginia,51,9,44765,2799
208,2014,0500000US51670,Hopewell city,Virginia,51,670,39156,2372
209,2014,0500000US51700,Newport News city,Virginia,51,700,51000,1081
210,2014,0500000US51069,Frederick County,Virginia,51,69,68719,3058
211,2014,0500000US51680,Lynchburg city,Virginia,51,680,39391,1539
212,2014,0500000US51199,York County,Virginia,51,199,80900,2698
213,2014,0500000US51690,Martinsville city,Virginia,51,690,27746,3802
214,2014,0500000US51125,Nelson County,Virginia,51,125,50131,4827
215,2014,0500000US51143,Pittsylvania County,Virginia,51,143,42311,1548
216,2014,0500000US51530,Buena Vista city,Virginia,51,530,32789,6070
217,2014,0500000US51610,Falls Church city,Virginia,51,610,120500,7427
218,2014,0500000US51730,Petersburg city,Virginia,51,730,33927,2450
219,2014,0500000US51735,Poquoson city,Virginia,51,735,83460,8664
220,2014,0500000US51600,Fairfax city,Virginia,51,600,100584,6960
221,2014,0500000US51820,Waynesboro city,Virginia,51,820,45499,2620
222,2014,0500000US51770,Roanoke city,Virginia,51,770,39530,1248
223,2014,0500000US51800,Suffolk city,Virginia,51,800,66822,2281
224,2014,0500000US51710,Norfolk city,Virginia,51,710,44150,1021
225,2014,0500000US51041,Chesterfield County,Virginia,51,41,72514,992
226,2014,0500000US51059,Fairfax County,Virginia,51,59,112102,1006
227,2014,0500000US51093,Isle of Wight County,Virginia,51,93,65910,3178
228,2014,0500000US51620,Franklin city,Virginia,51,620,33133,4309
229,2014,0500000US51678,Lexington city,Virginia,51,678,36840,5818
230,2014,0500000US51089,Henry County,Virginia,51,89,34344,1278
231,2014,0500000US51101,King William County,Virginia,51,101,63560,4684
232,2014,0500000US51109,Louisa County,Virginia,51,109,57126,4429
233,2014,0500000US51147,Prince Edward County,Virginia,51,147,37238,4449
234,2014,0500000US51165,Rockingham County,Virginia,51,165,53728,1686
235,2014,0500000US51181,Surry County,Virginia,51,181,51527,5300
236,2014,0500000US51043,Clarke County,Virginia,51,43,75508,4978
237,2014,0500000US51117,Mecklenburg County,Virginia,51,117,37756,2719
238,2014,0500000US51015,Augusta County,Virginia,51,15,54018,1636
239,2014,0500000US51075,Goochland County,Virginia,51,75,82460,4541
240,2014,0500000US51113,Madison County,Virginia,51,113,51641,5412
241,2014,0500000US51161,Roanoke County,Virginia,51,161,60950,1892
242,2014,0500000US51025,Brunswick County,Virginia,51,25,37028,2324
243,2014,0500000US51131,Northampton County,Virginia,51,131,34656,3267
244,2014,0500000US51163,Rockbridge County,Virginia,51,163,48550,3554
245,2014,0500000US51720,Norton city,Virginia,51,720,36148,6926
246,2014,0500000US51570,Colonial Heights city,Virginia,51,570,52529,2919
247,2014,0500000US51021,Bland County,Virginia,51,21,43508,3429
248,2014,0500000US51023,Botetourt County,Virginia,51,23,63011,4542
249,2014,0500000US51520,Bristol city,Virginia,51,520,33616,4058
250,2014,0500000US51830,Williamsburg city,Virginia,51,830,48057,4448
251,2014,0500000US51035,Carroll County,Virginia,51,35,33495,2345
252,2014,0500000US51191,Washington County,Virginia,51,191,42458,2081
253,2014,0500000US51139,Page County,Virginia,51,139,43063,2189
254,2014,0500000US51510,Alexandria city,Virginia,51,510,87319,2506
255,2014,0500000US51650,Hampton city,Virginia,51,650,49879,1767
256,2014,0500000US51013,Arlington County,Virginia,51,13,105120,1902
257,2014,0500000US51027,Buchanan County,Virginia,51,27,29678,2188
258,2014,0500000US51179,Stafford County,Virginia,51,179,98721,2449
259,2014,0500000US51760,Richmond city,Virginia,51,760,41331,939
260,2014,0500000US51057,Essex County,Virginia,51,57,42143,4251
261,2014,0500000US51185,Tazewell County,Virginia,51,185,36248,1974
262,2014,0500000US51685,Manassas Park city,Virginia,51,685,73460,4357
263,2014,0500000US51183,Sussex County,Virginia,51,183,36972,4640
264,2014,0500000US51683,Manassas city,Virginia,51,683,71215,4388
265,2014,0500000US51775,Salem city,Virginia,51,775,50590,2117
266,2014,0500000US51037,Charlotte County,Virginia,51,37,34820,3203
267,2014,0500000US51081,Greensville County,Virginia,51,81,38933,4028
268,2015,0500000US51095,James City County,Virginia,51,95,75710,2922
269,2015,0500000US51167,Russell County,Virginia,51,167,35045,3038
270,2015,0500000US51173,Smyth County,Virginia,51,173,37983,1553
271,2015,0500000US51540,Charlottesville city,Virginia,51,540,49775,3042
272,2015,0500000US51031,Campbell County,Virginia,51,31,47699,2817
273,2015,0500000US51087,Henrico County,Virginia,51,87,61934,954
274,2015,0500000US51099,King George County,Virginia,51,99,81688,2511
275,2015,0500000US51103,Lancaster County,Virginia,51,103,50374,5580
276,2015,0500000US51105,Lee County,Virginia,51,105,31086,2013
277,2015,0500000US51115,Mathews County,Virginia,51,115,63845,5703
278,2015,0500000US51119,Middlesex County,Virginia,51,119,54654,2879
279,2015,0500000US51149,Prince George County,Virginia,51,149,61857,3468
280,2015,0500000US51159,Richmond County,Virginia,51,159,47288,6065
281,2015,0500000US51169,Scott County,Virginia,51,169,37240,1803
282,2015,0500000US51177,Spotsylvania County,Virginia,51,177,78125,2699
283,2015,0500000US51011,Appomattox County,Virginia,51,11,48823,2438
284,2015,0500000US51067,Franklin County,Virginia,51,67,46870,2784
285,2015,0500000US51097,King and Queen County,Virginia,51,97,48292,3864
286,2015,0500000US51121,Montgomery County,Virginia,51,121,46663,2521
287,2015,0500000US51127,New Kent County,Virginia,51,127,73041,6494
