l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Michael Chiesa,Jorge Masvidal,Jorge Masvidal,2013-07-27,0,1,-3,3,2.571429,2.058824,5.080002,-5.080002,0,0,2.539993,-2.539993,162,192,25,52,-27,27,0.512604951858521,-0.512604951858521,2,0,0,0,2,-2,0,0,154,0,154,-154
Rustam Khabilov,Jorge Masvidal,Rustam Khabilov,2013-11-06,1,0,-1,1,6,2.058824,-7.619995,7.619995,-15,15,-2.540009,2.540009,168,86,28,52,-24,24,3.94117641448975,-3.94117641448975,2,1,0,0,1,-1,0,0,193,102,91,-91
Pat Healy,Jorge Masvidal,Jorge Masvidal,2014-04-19,0,1,1,-1,1.478261,2.058824,2.540009,-2.540009,-15,15,-5.080002,5.080002,335,197,57,52,5,-5,-0.580562710762024,0.580562710762024,0,0,0,0,0,0,0,0,210,164,46,-46
Daron Cruickshank,Jorge Masvidal,Jorge Masvidal,2014-07-26,0,1,0,0,1.8,2.058824,-7.619995,7.619995,-15,15,-5.080002,5.080002,24,450,28,52,-24,24,-0.25882363319397,0.25882363319397,2,1,0,0,1,-1,0,0,77,98,-21,21
James Krause,Jorge Masvidal,Jorge Masvidal,2014-09-27,0,1,-1,1,3.111111,2.058824,7.62001,-7.62001,0,0,-2.540009,2.540009,102,180,37,52,-15,15,1.05228757858276,-1.05228757858276,2,2,0,0,0,0,0,0,126,63,63,-63
Al Iaquinta,Jorge Masvidal,Al Iaquinta,2015-04-04,1,0,-3,3,2,2.058824,-2.539993,2.539993,-15,15,-10.16,10.16,7,25,21,52,-31,31,-5.88235855102539e-02,5.88235855102539e-02,3,3,0,0,0,0,0,0,63,189,-126,126
Cezar Ferreira,Jorge Masvidal,Jorge Masvidal,2015-07-12,0,1,0,0,1.625,2.058824,5.080002,-5.080002,15,-15,10.15999,-10.15999,91,2,21,52,-31,31,-0.433823585510254,0.433823585510254,3,0,0,0,3,-3,0,0,610,99,511,-511
Benson Henderson,Jorge Masvidal,Benson Henderson,2015-11-28,1,0,1,-1,3.428571,2.058824,-5.080002,5.080002,0,0,-10.16,10.16,412,229,31,52,-21,21,1.36974787712097,-1.36974787712097,3,1,0,0,2,-2,0,0,287,139,148,-148
Lorenz Larkin,Jorge Masvidal,Lorenz Larkin,2016-05-29,1,0,-2,2,3,2.058824,0,0,0,0,-5.080002,5.080002,127,165,24,52,-28,28,0.941176414489746,-0.941176414489746,0,0,1,0,0,0,1,-1,148,183,-35,35
Jake Ellenberger,Jorge Masvidal,Jorge Masvidal,2016-12-03,0,1,-1,1,2.066667,2.058824,-5.080002,5.080002,0,0,-7.62001,7.62001,3,38,46,52,-6,6,7.843017578125e-03,-7.843017578125e-03,0,0,3,0,0,0,3,-3,308,188,120,-120
Donald Cerrone,Jorge Masvidal,Jorge Masvidal,2017-01-28,0,1,1,-1,2.117647,2.058824,5.080002,-5.080002,-15,15,-2.540009,2.540009,0,6,53,52,1,-1,5.88235855102539e-02,-5.88235855102539e-02,3,1,2,0,2,-2,2,-2,161,56,105,-105
Demian Maia,Jorge Masvidal,Demian Maia,2017-05-13,1,0,7,-7,2.545455,2.058824,5.080002,-5.080002,0,0,-5.080002,5.080002,533,53,39,52,-13,13,0.486630916595459,-0.486630916595459,2,2,1,0,0,0,1,-1,518,105,413,-413
Ben Askren,Jorge Masvidal,Jorge Masvidal,2019-07-06,0,1,0,0,9.5,2.058824,0,0,0,0,-2.540009,2.540009,0,2,21,52,-31,31,7.44117641448975,-7.44117641448975,1,0,0,0,1,-1,0,0,126,784,-658,658
Nate Diaz,Jorge Masvidal,Jorge Masvidal,2019-11-02,0,1,0,0,1.692308,2.058824,2.540009,-2.540009,0,0,5.079987,-5.079987,44,416,35,52,-17,17,-0.366515874862671,0.366515874862671,1,1,1,0,0,0,1,-1,77,119,-42,42
Colby Covington,Jorge Masvidal,Colby Covington,2022-03-05,1,0,-3,3,5.666667,2.058824,0,0,0,0,-5.080002,5.080002,974,21,20,52,-32,32,3.60784292221069,-3.60784292221069,0,2,1,0,-2,2,1,-1,119,854,-735,735
Gilbert Burns,Jorge Masvidal,Gilbert Burns,2023-04-08,1,0,-2,2,3.666667,2.058824,-2.539993,2.539993,0,0,-7.62001,7.62001,341,5,28,52,-24,24,1.60784316062927,-1.60784316062927,1,0,2,0,1,-1,2,-2,77,399,-322,322
Pat Miletich,Jorge Patino,Pat Miletich,1999-01-08,1,0,5,-5,4.142857,2,5.080002,-5.080002,0,0,2,-2,0,0,36,57,-21,21,2.14285707473755,-2.14285707473755,1,0,0,0,1,-1,0,0,301,0,301,-301
David Loiseau,Jorge Rivera,Jorge Rivera,2003-09-26,0,1,-8,8,2.090909,2.222222,-2.539993,2.539993,0,0,7.619995,-7.619995,29,328,34,29,5,-5,-0.131313323974609,0.131313323974609,1,0,0,0,1,-1,0,0,154,0,154,-154
Lee Murray,Jorge Rivera,Lee Murray,2004-01-31,1,0,-5,5,4,2.222222,5.080002,-5.080002,0,0,10.58,-10.58,0,87,10,29,-19,19,1.77777767181396,-1.77777767181396,0,1,0,0,-1,1,0,0,0,127,-127,127
Rich Franklin,Jorge Rivera,Rich Franklin,2004-10-22,1,0,-2,2,4.142857,2.222222,0,0,0,0,7.619995,-7.619995,575,50,36,29,7,-7,1.92063474655151,-1.92063474655151,1,0,0,0,1,-1,0,0,546,265,281,-281
Dennis Hallman,Jorge Rivera,Jorge Rivera,2005-10-07,0,1,-4,4,2.65,2.222222,-10.16,10.16,-30,30,-2.539993,2.539993,169,441,73,29,44,-44,0.427777767181396,-0.427777767181396,0,0,1,0,0,0,1,-1,475,350,125,-125
Chris Leben,Jorge Rivera,Chris Leben,2006-01-16,1,0,-8,8,2,2.222222,-5.080002,5.080002,0,0,0,0,43,27,33,29,4,-4,-0.222222328186035,0.222222328186035,1,1,0,0,0,0,0,0,282,101,181,-181
Edwin DeWees,Jorge Rivera,Jorge Rivera,2006-11-11,0,1,-10,10,2.235294,2.222222,0,0,0,0,2.580002,-2.580002,15,15,55,29,26,-26,1.30717754364014e-02,-1.30717754364014e-02,0,0,1,1,0,0,0,0,404,299,105,-105
Terry Martin,Jorge Rivera,Terry Martin,2007-02-03,1,0,-8,8,2.090909,2.222222,-12.7,12.7,0,0,-5.080002,5.080002,5,0,34,29,5,-5,-0.131313323974609,0.131313323974609,0,1,0,1,-1,1,-1,1,0,84,-84,84
Kendall Grove,Jorge Rivera,Jorge Rivera,2008-01-19,0,1,-10,10,1.352941,2.222222,12.7,-12.7,0,0,15.24001,-15.24001,0,65,40,29,11,-11,-0.86928117275238,0.86928117275238,2,0,0,2,2,-2,-2,2,466,350,116,-116
Martin Kampmann,Jorge Rivera,Martin Kampmann,2008-06-07,1,0,-10,10,2.857143,2.222222,-2.539993,2.539993,-15,15,-2.539993,2.539993,127,3,27,29,-2,2,0.634920597076416,-0.634920597076416,3,1,0,2,2,-2,-2,2,462,140,322,-322
Nissen Osterneck,Jorge Rivera,Jorge Rivera,2009-04-01,0,1,-10,10,3,2.222222,2.540009,-2.540009,0,0,2.580002,-2.580002,291,424,16,29,-13,13,0.777777671813965,-0.777777671813965,0,0,0,2,0,0,-2,2,0,298,-298,298
Rob Kimmons,Jorge Rivera,Jorge Rivera,2009-10-24,0,1,-9,9,2.777778,2.222222,-7.619995,7.619995,0,0,0,0,179,439,34,29,5,-5,0.55555534362793,-0.55555534362793,1,1,0,2,0,0,-2,2,206,206,0,0
Nate Quarry,Jorge Rivera,Jorge Rivera,2010-03-31,0,1,0,0,3,2.222222,-2.539993,2.539993,0,0,-2.539993,2.539993,0,89,16,29,-13,13,0.777777671813965,-0.777777671813965,4,2,0,2,2,-2,-2,2,711,158,553,-553
Michael Bisping,Jorge Rivera,Michael Bisping,2011-02-26,1,0,-7,7,3.333333,2.222222,0,0,0,0,5.080002,-5.080002,77,0,39,29,10,-10,1.11111092567444,-1.11111092567444,1,3,1,2,-2,2,-1,1,273,332,-59,59
Constantinos Philippou,Jorge Rivera,Constantinos Philippou,2011-08-06,1,0,-8,8,2.6,2.222222,-5.080002,5.080002,0,0,0,0,335,306,18,29,-11,11,0.377777576446533,-0.377777576446533,0,0,0,3,0,0,-3,3,0,161,-161,161
Justin Levens,Jorge Santiago,Jorge Santiago,2006-06-28,0,1,1,-1,1.428571,2.083333,-5.080002,5.080002,15,-15,-7.5,7.5,10,70,17,37,-20,20,-0.654761791229248,0.654761791229248,0,0,0,0,0,0,0,0,74,0,74,-74
Chris Leben,Jorge Santiago,Chris Leben,2006-08-17,1,0,1,-1,2,2.083333,-5.080002,5.080002,15,-15,-5.080002,5.080002,136,70,33,37,-4,4,-8.33332538604736e-02,8.33332538604736e-02,0,1,1,0,-1,1,1,-1,50,50,0,0
Alan Belcher,Jorge Santiago,Alan Belcher,2006-12-13,1,0,-4,4,2.25,2.083333,2.540009,-2.540009,15,-15,0,0,259,145,26,37,-11,11,0.166666746139526,-0.166666746139526,0,0,0,1,0,0,-1,1,109,118,-9,9
Demian Maia,Jorge Santiago,Demian Maia,2011-10-08,1,0,3,-3,2.545455,2.083333,0,0,0,0,-7.619995,7.619995,553,29,39,37,2,-2,0.462121248245239,-0.462121248245239,0,0,1,2,0,0,-1,1,119,1760,-1641,1641
Gunnar Nelson,Jorge Santiago,Gunnar Nelson,2013-02-16,1,0,-8,8,3.8,2.083333,-5.080002,5.080002,0,0,-7.619995,7.619995,338,12,24,37,-13,13,1.71666669845581,-1.71666669845581,0,0,0,2,0,0,-2,2,0,497,-497,497
"Da'Mon Blackshear",Jose Johnson,"Da'Mon Blackshear",2023-08-12,1,0,1,-1,2.333333,1.875,-5.080002,5.080002,0,0,2.540009,-2.540009,177,0,20,23,-3,3,0.458333253860474,-0.458333253860474,1,0,0,0,1,-1,0,0,70,0,70,-70
John Lineker,Jose Maria,John Lineker,2013-08-03,1,0,-8,8,3.444444,5.285714,-5.080002,5.080002,10,-10,0.1799927,-0.1799927,51,33,40,44,-4,4,-1.84126973152161,1.84126973152161,1,0,0,0,1,-1,0,0,266,0,266,-266
Alejandro Perez,Jose Quinonez,Alejandro Perez,2014-11-15,1,0,1,-1,2.555556,1.8,-5.080002,5.080002,0,0,-5.080002,5.080002,26,208,32,14,18,-18,0.755555629730225,-0.755555629730225,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Morales,Jose Quinonez,Jose Quinonez,2015-06-06,0,1,-2,2,3,1.8,0,0,0,0,-10.25999,10.25999,0,131,8,14,-6,6,1.20000004768372,-1.20000004768372,0,0,0,0,0,0,0,0,203,203,0,0
Joey Gomez,Jose Quinonez,Jose Quinonez,2016-09-17,0,1,1,-1,7,1.8,5.080002,-5.080002,20,-20,5.080002,-5.080002,16,277,8,14,-6,6,5.20000004768372,-5.20000004768372,0,1,0,0,-1,1,0,0,0,469,-469,469
Teruto Ishihara,Jose Quinonez,Jose Quinonez,2018-02-10,0,1,-1,1,1.428571,1.8,-2.540009,2.540009,0,0,0,0,25,201,17,14,3,-3,-0.371428489685059,0.371428489685059,0,2,0,0,-2,2,0,0,218,511,-293,293
Carlos Huachin,Jose Quinonez,Jose Quinonez,2019-09-21,0,1,-6,6,2,1.8,-10.16,10.16,0,0,-5.080002,5.080002,0,253,15,14,1,-1,0.200000047683716,-0.200000047683716,0,3,0,0,-3,3,0,0,0,588,-588,588
"Sean O'Malley",Jose Quinonez,"Sean O'Malley",2020-03-07,1,0,-4,4,17,1.8,7.619995,-7.619995,0,0,7.62001,-7.62001,2,0,18,14,4,-4,15.2000000476837,-15.2000000476837,2,4,0,0,-2,2,0,0,735,168,567,-567
Jarred Brooks,Jose Torres,Jose Torres,2018-06-01,0,1,0,0,6.5,8,-2.539993,2.539993,0,0,-7.62001,7.62001,193,42,15,9,6,-6,-1.5,1.5,0,0,0,0,0,0,0,0,216,0,216,-216
Alex Perez,Jose Torres,Alex Perez,2018-08-04,1,0,0,0,3.428571,8,5.080002,-5.080002,0,0,0,0,3,0,31,9,22,-22,-4.57142853736877,4.57142853736877,1,1,0,0,0,0,0,0,161,64,97,-97
Jessica-Rose Clark,Joselyne Edwards,Jessica-Rose Clark,2021-10-23,1,0,7,-7,1.222222,2.6,-7.619995,7.619995,0,0,-15.24001,15.24001,700,98,20,18,2,-2,-1.37777769565582,1.37777769565582,0,0,0,0,0,0,0,0,714,0,714,-714
Nora Cornolle,Joselyne Edwards,Nora Cornolle,2023-09-02,1,0,6,-6,7,2.6,-2.540009,2.540009,0,0,-7.62001,7.62001,131,522,8,18,-10,10,4.40000009536743,-4.40000009536743,0,0,0,0,0,0,0,0,0,679,-679,679
Ali Bagautinov,Joseph Benavidez,Joseph Benavidez,2015-10-03,0,1,-1,1,2.5,3.5,0,0,0,0,0,0,19,0,21,36,-15,15,-1,1,0,0,0,0,0,0,0,0,476,0,476,-476
Askar Askarov,Joseph Benavidez,Askar Askarov,2021-03-06,1,0,-8,8,14,3.5,5.080002,-5.080002,0,0,5.079987,-5.079987,300,0,15,36,-21,21,10.5,-10.5,2,1,0,0,1,-1,0,0,231,1981,-1750,1750
Alen Amedovski,Joseph Holmes,Joseph Holmes,2022-05-21,0,1,8,-8,2,2,-15.23999,15.23999,0,0,-15.23999,15.23999,0,21,12,12,0,0,0,0,0,0,1,0,0,0,1,-1,966,0,966,-966
Deiveson Figueiredo,Joseph Morales,Deiveson Figueiredo,2018-02-03,1,0,7,-7,7,4.5,-2.539993,2.539993,0,0,-2.539993,2.539993,363,0,24,11,13,-13,2.5,-2.5,0,0,0,0,0,0,0,0,0,0,0,0
Nick Denis,Joseph Sandoval,Nick Denis,2012-01-20,1,0,3,-3,3.666667,1,0,0,0,0,0,0,1,0,14,14,0,0,2.66666674613953,-2.66666674613953,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Arlovski,Josh Barnett,Josh Barnett,2016-09-03,0,1,-1,1,1.545455,4.375,0,0,-10,10,-2.539993,2.539993,142,392,56,43,13,-13,-2.82954549789429,2.82954549789429,0,0,5,0,0,0,5,-5,118,0,118,-118
SeungWoo Choi,Josh Culibao,Josh Culibao,2022-06-11,0,1,1,-1,1.833333,5.5,5.080002,-5.080002,0,0,2.540009,-2.540009,150,58,17,13,4,-4,-3.66666662693024,3.66666662693024,3,0,0,0,3,-3,0,0,357,0,357,-357
Melsik Baghdasaryan,Josh Culibao,Josh Culibao,2023-02-11,0,1,3,-3,4,5.5,-2.540009,2.540009,0,0,-7.619995,7.619995,0,14,10,13,-3,3,-1.5,1.5,1,1,0,0,0,0,0,0,462,245,217,-217
Felipe Arantes,Josh Emmett,Josh Emmett,2017-10-21,0,1,-3,3,1.8,4.5,5.080002,-5.080002,-10,10,7.619995,-7.619995,0,165,28,22,6,-6,-2.70000004768372,2.70000004768372,0,0,0,0,0,0,0,0,350,0,350,-350
Mirsad Bektic,Josh Emmett,Josh Emmett,2019-07-13,0,1,-6,6,3.25,4.5,5.080002,-5.080002,0,0,0,0,0,29,17,22,-5,5,-1.25,1.25,2,1,1,0,1,-1,1,-1,399,630,-231,231
Shane Burgos,Josh Emmett,Josh Emmett,2020-06-20,0,1,-6,6,5,4.5,12.7,-12.7,0,0,12.7,-12.7,0,84,18,22,-4,4,0.5,-0.5,2,2,1,0,0,0,1,-1,413,343,70,-70
Roland Delorme,Josh Ferguson,Roland Delorme,2011-12-03,1,0,4,-4,1.8,2,10.15999,-10.15999,10,-10,12.34,-12.34,88,299,14,15,-1,1,-0.200000047683716,0.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0
Chris Cariaso,Josh Ferguson,Chris Cariaso,2012-07-11,1,0,7,-7,2.125,2,-5.080002,5.080002,0,0,-5.440002,5.440002,258,231,25,15,10,-10,0.125,-0.125,2,0,0,0,2,-2,0,0,137,221,-84,84
Sedriques Dumas,Josh Fremd,Josh Fremd,2023-03-11,0,1,-2,2,8,2.2,-5.079987,5.079987,0,0,7.62001,-7.62001,7,267,9,16,-7,7,5.79999995231628,-5.79999995231628,0,0,0,0,0,0,0,0,0,0,0,0
Michael Bisping,Josh Haynes,Michael Bisping,2006-06-24,1,0,-1,1,3.333333,1.272727,10.16,-10.16,15,-15,12.5,-12.5,329,53,39,25,14,-14,2.06060600280762,-2.06060600280762,0,0,0,0,0,0,0,0,0,0,0,0
Luke Cummo,Josh Haynes,Luke Cummo,2007-04-07,1,0,-3,3,1,1.272727,7.62001,-7.62001,0,0,9.960007,-9.960007,29,23,12,25,-13,13,-0.272727251052856,0.272727251052856,0,0,0,1,0,0,-1,1,283,287,-4,4
Gabriel Gonzaga,Josh Hendricks,Gabriel Gonzaga,2008-11-15,1,0,-3,3,1.545455,1.727273,0,0,7,-7,2.039993,-2.039993,4,0,28,30,-2,2,-0.181818246841431,0.181818246841431,1,0,1,0,1,-1,1,-1,133,0,133,-133
Drew Fickett,Josh Koscheck,Drew Fickett,2005-10-03,1,0,-2,2,2,1.545455,0,0,-15,15,-7.619995,7.619995,16,754,63,28,35,-35,0.454545497894287,-0.454545497894287,1,0,0,0,1,-1,0,0,58,0,58,-58
Ansar Chalangov,Josh Koscheck,Josh Koscheck,2006-04-06,0,1,-2,2,2.8,1.545455,-2.540009,2.540009,0,0,8.580002,-8.580002,8,165,19,28,-9,9,1.25454545021057,-1.25454545021057,0,0,0,0,0,0,0,0,0,185,-185,185
Jonathan Goulet,Josh Koscheck,Josh Koscheck,2006-08-17,0,1,-1,1,1.916667,1.545455,5.080002,-5.080002,0,0,0,0,0,217,35,28,7,-7,0.371212124824524,-0.371212124824524,0,1,1,0,-1,1,1,-1,213,133,80,-80
Jeff Joslin,Josh Koscheck,Josh Koscheck,2006-12-13,0,1,2,-2,1.666667,1.545455,5.080002,-5.080002,0,0,-7.419998,7.419998,0,556,8,28,-20,20,0.121212124824524,-0.121212124824524,0,2,0,0,-2,2,0,0,0,118,-118,118
Dustin Hazelett,Josh Koscheck,Josh Koscheck,2008-03-01,0,1,-9,9,1.714286,1.545455,7.619995,-7.619995,0,0,7.619995,-7.619995,0,72,19,28,-9,9,0.1688312292099,-0.1688312292099,2,3,0,0,-1,1,0,0,259,444,-185,185
Thiago Alves,Josh Koscheck,Thiago Alves,2008-10-25,1,0,-5,5,1.533333,1.545455,-2.540009,2.540009,0,0,-7.619995,7.619995,17,158,38,28,10,-10,-1.21212005615234e-02,1.21212005615234e-02,5,4,1,0,1,-1,1,-1,140,238,-98,98
Anthony Johnson,Josh Koscheck,Josh Koscheck,2009-11-21,0,1,-6,6,3.666667,1.545455,10.16,-10.16,35,-35,12.7,-12.7,43,239,28,28,0,0,2.12121224403381,-2.12121224403381,3,0,0,0,3,-3,0,0,28,392,-364,364
Paul Daley,Josh Koscheck,Josh Koscheck,2010-05-08,0,1,-5,5,2.6,1.545455,-2.540009,2.540009,0,0,7.619995,-7.619995,2,722,54,28,26,-26,1.05454540252686,-1.05454540252686,2,1,0,0,1,-1,0,0,126,168,-42,42
Matt Hughes,Josh Koscheck,Josh Koscheck,2011-09-24,0,1,4,-4,5,1.545455,-2.540009,2.540009,0,0,0,0,0,17,54,28,26,-26,3.45454549789429,-3.45454549789429,0,2,2,0,-2,2,2,-2,308,504,-196,196
Johny Hendricks,Josh Koscheck,Johny Hendricks,2012-05-05,1,0,-6,6,2.25,1.545455,-2.540009,2.540009,15,-15,-10.16,10.16,151,206,26,28,-2,2,0.704545497894287,-0.704545497894287,2,3,0,0,-1,1,0,0,273,224,49,-49
Jake Ellenberger,Josh Koscheck,Jake Ellenberger,2015-02-28,1,0,-8,8,2.066667,1.545455,-2.540009,2.540009,0,0,-5.080002,5.080002,22,212,46,28,18,-18,0.521212100982666,-0.521212100982666,0,0,2,0,0,0,2,-2,105,1029,-924,924
Drew Fickett,Josh Neer,Drew Fickett,2005-08-06,1,0,3,-3,2,2.25,-2.539993,2.539993,-15,15,-5.080002,5.080002,70,0,63,52,11,-11,-0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Guillard,Josh Neer,Josh Neer,2006-01-16,0,1,0,0,1.777778,2.25,-5.080002,5.080002,-15,15,-2.540009,2.540009,103,51,50,52,-2,2,-0.472222208976746,0.472222208976746,0,0,0,0,0,0,0,0,0,163,-163,163
Joshua Burkman,Josh Neer,Joshua Burkman,2006-07-08,1,0,3,-3,1.75,2.25,-2.539993,2.539993,0,0,0,0,405,190,44,52,-8,8,-0.5,0.5,0,1,0,0,-1,1,0,0,93,173,-80,80
Nick Diaz,Josh Neer,Nick Diaz,2006-08-26,1,0,0,0,2.6,2.25,5.080002,-5.080002,0,0,10.15999,-10.15999,121,70,36,52,-16,16,0.349999904632568,-0.349999904632568,0,0,0,0,0,0,0,0,133,49,84,-84
Nate Diaz,Josh Neer,Nate Diaz,2008-09-17,1,0,-2,2,1.692308,2.25,2.540009,-2.540009,0,0,10.15999,-10.15999,449,336,35,52,-17,17,-0.557692289352417,0.557692289352417,3,0,0,0,3,-3,0,0,168,753,-585,585
Mac Danzig,Josh Neer,Josh Neer,2009-02-07,0,1,4,-4,1.75,2.25,-7.619995,7.619995,-15,15,-5.080002,5.080002,178,133,33,52,-19,19,-0.5,0.5,0,0,0,0,0,0,0,0,143,143,0,0
Duane Ludwig,Josh Neer,Josh Neer,2012-01-20,0,1,5,-5,1.5,2.25,-2.539993,2.539993,0,0,-5.080002,5.080002,10,69,35,52,-17,17,-0.75,0.75,2,1,0,0,1,-1,0,0,159,1077,-918,918
Justin Edwards,Josh Neer,Justin Edwards,2012-10-05,1,0,0,0,1.8,2.25,-2.539993,2.539993,-15,15,-5.080002,5.080002,8,20,14,52,-38,38,-0.450000047683716,0.450000047683716,0,2,0,0,-2,2,0,0,335,259,76,-76
Court McGee,Josh Neer,Court McGee,2013-02-23,1,0,-1,1,1.833333,2.25,0,0,0,0,7.619995,-7.619995,288,4,34,52,-18,18,-0.416666626930237,0.416666626930237,0,0,0,0,0,0,0,0,217,141,76,-76
Roque Martinez,Josh Parisian,Josh Parisian,2021-06-19,0,1,4,-4,1.875,2.142857,-15.23999,15.23999,-15,15,-17.78,17.78,259,263,23,22,1,-1,-0.267857074737549,0.267857074737549,0,0,0,0,0,0,0,0,217,0,217,-217
"Don'Tale Mayes",Josh Parisian,"Don'Tale Mayes",2021-12-18,1,0,-3,3,2,2.142857,5.080002,-5.080002,-5,5,5.080002,-5.080002,692,21,15,22,-7,7,-0.142857074737549,0.142857074737549,0,1,0,0,-1,1,0,0,581,182,399,-399
Alan Baudot,Josh Parisian,Josh Parisian,2022-06-25,0,1,2,-2,2.666667,2.142857,-2.539993,2.539993,-22,22,0,0,103,189,11,22,-11,11,0.523809671401978,-0.523809671401978,0,0,0,1,0,0,-1,1,126,189,-63,63
Martin Buday,Josh Parisian,Martin Buday,2023-08-12,1,0,-3,3,13,2.142857,0,0,0,0,-5.080002,5.080002,116,13,14,22,-8,8,10.8571429252625,-10.8571429252625,1,1,0,1,0,0,-1,1,105,413,-308,308
Alex Karalexis,Josh Rafferty,Alex Karalexis,2005-04-09,1,0,3,-3,1.666667,1.125,-10.16,10.16,-15,15,-17.36,17.36,63,0,16,17,-1,1,0.541666626930237,-0.541666626930237,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Casey,Josh Samman,Josh Samman,2013-04-13,0,1,6,-6,1.8,3.25,-10.16,10.16,0,0,-5.080002,5.080002,193,137,14,17,-3,3,-1.45000004768372,1.45000004768372,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Gordon,Josh Samman,Josh Samman,2014-12-06,0,1,5,-5,2,3.25,-7.619995,7.619995,0,0,-7.62001,7.62001,393,16,12,17,-5,5,-1.25,1.25,1,1,0,0,0,0,0,0,153,602,-449,449
Caio Magalhaes,Josh Samman,Josh Samman,2015-07-12,0,1,0,0,3.333333,3.25,-5.080002,5.080002,0,0,-15.24001,15.24001,0,70,13,17,-4,4,8.33332538604736e-02,-8.33332538604736e-02,4,2,0,0,2,-2,0,0,246,218,28,-28
Tamdan McCrory,Josh Samman,Tamdan McCrory,2015-12-19,1,0,2,-2,2.8,3.25,2.539993,-2.539993,0,0,-7.62001,7.62001,438,380,19,17,2,-2,-0.450000047683716,0.450000047683716,1,3,0,0,-2,2,0,0,3112,160,2952,-2952
Tim Boetsch,Josh Samman,Tim Boetsch,2016-07-13,1,0,7,-7,1.615385,3.25,-7.619995,7.619995,0,0,-12.7,12.7,261,127,34,17,17,-17,-1.63461542129517,1.63461542129517,0,0,4,0,0,0,4,-4,178,207,-29,29
Ryan Benoit,Josh Sampo,Josh Sampo,2013-11-30,0,1,-5,5,1.25,2.2,2.540009,-2.540009,0,0,10.16,-10.16,141,251,18,16,2,-2,-0.950000047683716,0.950000047683716,0,0,0,0,0,0,0,0,0,0,0,0
Zach Makovsky,Josh Sampo,Zach Makovsky,2014-02-22,1,0,1,-1,2.5,2.2,0,0,0,0,0,0,327,90,28,16,12,-12,0.299999952316284,-0.299999952316284,0,1,0,0,-1,1,0,0,0,84,-84,84
Paddy Holohan,Josh Sampo,Paddy Holohan,2014-07-19,1,0,-3,3,6,2.2,15.24001,-15.24001,0,0,12.7,-12.7,113,0,14,16,-2,2,3.79999995231628,-3.79999995231628,0,0,0,0,0,0,0,0,0,147,-147,147
Jason Saggo,Josh Shockley,Jason Saggo,2014-06-14,1,0,4,-4,3,2.75,-5.080002,5.080002,0,0,-7.660004,7.660004,221,33,16,15,1,-1,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Jorge,Josh Shockley,Ivan Jorge,2015-02-22,1,0,9,-9,3.857143,2.75,-10.16,10.16,0,0,-2.580002,2.580002,367,82,34,15,19,-19,1.10714292526245,-1.10714292526245,1,0,0,1,1,-1,-1,1,536,253,283,-283
"Jake O'Brien",Josh Shockman,"Jake O'Brien",2006-11-18,1,0,-3,3,3.75,2,-2.539993,2.539993,-30,30,-2.960007,2.960007,622,27,19,9,10,-10,1.75,-1.75,0,0,0,0,0,0,0,0,0,0,0,0
Cory Hendricks,Josh Stansbury,Josh Stansbury,2016-07-08,0,1,-3,3,3,0.5,2.539993,-2.539993,0,0,5.039993,-5.039993,18,468,4,12,-8,8,2.5,-2.5,0,0,0,0,0,0,0,0,0,0,0,0
Devin Clark,Josh Stansbury,Devin Clark,2016-12-03,1,0,-6,6,1.75,0.5,-5.080002,5.080002,0,0,2.539993,-2.539993,280,231,22,12,10,-10,1.25,-1.25,0,1,1,0,-1,1,1,-1,143,148,-5,5
Jeremy Kimball,Josh Stansbury,Jeremy Kimball,2017-06-25,1,0,-6,6,1.875,0.5,-5.080002,5.080002,0,0,-5.080002,5.080002,8,23,23,12,11,-11,1.375,-1.375,0,0,1,0,0,0,1,-1,148,204,-56,56
Laverne Clark,Josh Stuart,Laverne Clark,1998-03-13,1,0,,,1.285714,0.25,5.080002,-5.080002,10,-10,3,-3,0,0,48,5,43,-43,1.03571426868439,-1.03571426868439,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Strebendt,Josh Thomson,Josh Thomson,2003-09-26,0,1,-1,1,1.285714,2.444444,-2.540009,2.540009,0,0,-2.339996,2.339996,0,147,16,31,-15,15,-1.1587301492691,1.1587301492691,0,0,0,0,0,0,0,0,0,0,0,0
