l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Ryan Bader,Anthony Perosh,Ryan Bader,2013-12-06,1,0,-11,11,4.6,1.5,-2.539993,2.539993,0,0,-2.539993,2.539993,734,0,28,25,3,-3,3.09999990463257,-3.09999990463257,0,1,2,3,-1,1,-1,1,93,125,-32,32
Guto Inocente,Anthony Perosh,Anthony Perosh,2014-11-07,0,1,-14,14,1.75,1.5,0,0,0,0,2.5,-2.5,0,163,11,25,-14,14,0.25,-0.25,0,0,1,3,0,0,-2,2,124,336,-212,212
"Sean O'Connell",Anthony Perosh,"Sean O'Connell",2015-05-09,1,0,-11,11,1.888889,1.5,-5.080002,5.080002,0,0,-2.539993,2.539993,0,0,26,25,1,-1,0.388888835906982,-0.388888835906982,1,1,0,3,0,0,-3,3,111,183,-72,72
Clay Guida,Anthony Pettis,Clay Guida,2011-06-04,1,0,5,-5,1.9,2.4,-7.62001,7.62001,0,0,-5.080002,5.080002,617,41,58,34,24,-24,-0.50000011920929,0.50000011920929,0,0,0,0,0,0,0,0,714,0,714,-714
Joe Lauzon,Anthony Pettis,Anthony Pettis,2012-02-25,0,1,2,-2,1.75,2.4,0,0,0,0,-2.540009,2.540009,0,2,44,34,10,-10,-0.650000095367432,0.650000095367432,1,0,0,0,1,-1,0,0,244,266,-22,22
Donald Cerrone,Anthony Pettis,Anthony Pettis,2013-01-26,0,1,4,-4,2.117647,2.4,7.619995,-7.619995,0,0,2.539993,-2.539993,0,2,53,34,19,-19,-0.282352924346924,0.282352924346924,2,1,0,0,1,-1,0,0,168,336,-168,168
Benson Henderson,Anthony Pettis,Anthony Pettis,2013-08-31,0,1,3,-3,3.428571,2.4,-2.540009,2.540009,15,-15,-5.080002,5.080002,189,0,31,34,-3,3,1.02857136726379,-1.02857136726379,2,2,0,0,0,0,0,0,133,217,-84,84
Gilbert Melendez,Anthony Pettis,Anthony Pettis,2014-12-06,0,1,5,-5,2.75,2.4,-2.540009,2.540009,-10,10,2.539993,-2.539993,261,3,30,34,-4,4,0.349999904632568,-0.349999904632568,1,3,0,0,-2,2,0,0,413,462,-49,49
Rafael Dos Anjos,Anthony Pettis,Rafael Dos Anjos,2015-03-14,1,0,2,-2,2.133333,2.4,-5.080002,5.080002,15,-15,-5.080002,5.080002,882,52,47,34,13,-13,-0.266666650772095,0.266666650772095,2,4,1,0,-2,2,1,-1,203,98,105,-105
Eddie Alvarez,Anthony Pettis,Eddie Alvarez,2016-01-17,1,0,4,-4,4.833333,2.4,-2.540009,2.540009,0,0,-7.62001,7.62001,458,0,35,34,1,-1,2.43333339691162,-2.43333339691162,1,0,0,0,1,-1,0,0,218,309,-91,91
