l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Leonard Garcia,Matt Grice,Matt Grice,0,1,2,1.384615,5.080002,0,-5.080002,11,Orthodox vs Orthodox,-2,3,-5.080002,0,5.080002,-11,Orthodox vs Orthodox,Featherweight,-1.61538457870483,1.61538457870483
Leonard Garcia,Nam Phan,Leonard Garcia,1,0,4,1.384615,10.16,10,-5.080002,-7,Orthodox vs Orthodox,-4,1.235294,-10.16,-10,5.080002,7,Orthodox vs Orthodox,Featherweight,0.149321317672729,-0.149321317672729
Leonard Garcia,Roger Huerta,Roger Huerta,0,1,4,1.384615,2.540009,-10,-5.080002,-1,Orthodox vs Orthodox,-4,2.555556,-2.540009,10,5.080002,1,Orthodox vs Orthodox,Lightweight,-1.17094016075134,1.17094016075134
Leonard Garcia,Cole Miller,Cole Miller,0,1,5,1.384615,-7.619995,0,-12.7,-1,Orthodox vs Orthodox,-5,1.909091,7.619995,0,12.7,1,Orthodox vs Orthodox,Lightweight,-0.524475455284119,0.524475455284119
Leonard Garcia,Max Holloway,Max Holloway,0,1,12,1.384615,-2.539993,0,-2.539993,-1,Orthodox vs Orthodox,-12,3.571429,2.539993,0,2.539993,1,Orthodox vs Orthodox,Featherweight,-2.18681311607361,2.18681311607361
Leonard Garcia,Nam Phan,Nam Phan,0,1,4,1.384615,10.16,10,-5.080002,-7,Orthodox vs Orthodox,-4,1.235294,-10.16,-10,5.080002,7,Orthodox vs Orthodox,Featherweight,0.149321317672729,-0.149321317672729
Leonard Garcia,Cody McKenzie,Cody McKenzie,0,1,8,1.384615,-5.080002,-10,-10.16,5,Orthodox vs Switch,-8,1.6,5.080002,10,10.16,-5,Switch vs Orthodox,Featherweight,-0.215384602546692,0.215384602546692
Leonardo Guimaraes,Anthony Smith,Anthony Smith,0,1,6,2.2,-10.15999,-20,-7.039993,-39,Orthodox vs Orthodox,-6,2.055556,10.15999,20,7.039993,39,Orthodox vs Orthodox,Middleweight,0.144444465637207,-0.144444465637207
Leonardo Mafra,Thiago Perpetuo,Thiago Perpetuo,0,1,-1,3.25,0,-15,-2.199997,4,Orthodox vs Orthodox,1,2.25,0,15,2.199997,-4,Orthodox vs Orthodox,Middleweight,1,-1
Leonardo Mafra,Stevie Ray,Stevie Ray,0,1,1,3.25,0,0,0,-15,Orthodox vs Southpaw,-1,2.555556,0,0,0,15,Southpaw vs Orthodox,Lightweight,0.694444417953491,-0.694444417953491
Leonardo Mafra,Rick Story,Rick Story,0,1,-4,3.25,2.540009,-15,-2.539993,-11,Orthodox vs Southpaw,4,2.111111,-2.540009,15,2.539993,11,Southpaw vs Orthodox,Welterweight,1.13888883590698,-1.13888883590698
Leonardo Morales,Yair Rodriguez,Yair Rodriguez,0,1,-1,3,-7.619995,-10,-15.34,-12,Southpaw vs Orthodox,1,4,7.619995,10,15.34,12,Orthodox vs Southpaw,Featherweight,-1,1
Leonardo Morales,Jose Quinonez,Jose Quinonez,0,1,-2,3,0,0,-10.25999,-6,Southpaw vs Southpaw,2,1.8,0,0,10.25999,6,Southpaw vs Southpaw,Bantamweight,1.20000004768372,-1.20000004768372
Lerone Murphy,Douglas Silva de Andrade,Lerone Murphy,1,0,-6,13,5.080002,10,12.7,-21,Orthodox vs Orthodox,6,5.8,-5.080002,-10,-12.7,21,Orthodox vs Orthodox,Featherweight,7.19999980926514,-7.19999980926514
