l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Carlston Harris,Jeremiah Wells,Carlston Harris,1,0,0,3.8,7.62001,0,5.079987,9,Orthodox vs Switch,0,4,-7.62001,0,-5.079987,-9,Switch vs Orthodox,Welterweight,-0.200000047683716,0.200000047683716
Carlton Minus,Matthew Semelsberger,Matthew Semelsberger,0,1,0,3.333333,-7.619995,0,0,-4,Orthodox vs Switch,0,1.833333,7.619995,0,0,4,Switch vs Orthodox,Welterweight,1.49999988079071,-1.49999988079071
Caros Fodor,Sam Stout,Sam Stout,0,1,1,1.833333,0,0,10.16,-15,Orthodox vs Orthodox,-1,1.666667,0,0,-10.16,15,Orthodox vs Orthodox,Lightweight,0.166666746139526,-0.166666746139526
Casey Kenney,Louis Smolka,Casey Kenney,1,0,1,4,-5.080002,0,0,-6,Southpaw vs Orthodox,-1,1.888889,5.080002,0,0,6,Orthodox vs Southpaw,Bantamweight,2.11111116409302,-2.11111116409302
Casey Kenney,Song Yadong,Song Yadong,0,1,7,4,-2.540009,0,2.540009,-7,Southpaw vs Orthodox,-7,2.857143,2.540009,0,-2.540009,7,Orthodox vs Southpaw,Bantamweight,1.14285707473755,-1.14285707473755
Casey Kenney,Nathaniel Wood,Casey Kenney,1,0,2,4,2.539993,-10,-2.539993,-5,Southpaw vs Orthodox,-2,4,-2.539993,10,2.539993,5,Orthodox vs Southpaw,Catch Weight,0,0
"Casey O'Neill",Lara Procopio,"Casey O'Neill",1,0,-2,9,5.080002,0,5.080002,1,Orthodox vs Orthodox,2,3.5,-5.080002,0,-5.080002,-1,Orthodox vs Orthodox,"Women's Flyweight",5.5,-5.5
"Casey O'Neill",Antonina Shevchenko,"Casey O'Neill",1,0,-13,9,-5.080002,0,5.080002,-4,Orthodox vs Southpaw,13,2.5,5.080002,0,-5.080002,4,Southpaw vs Orthodox,"Women's Flyweight",6.5,-6.5
Cathal Pendred,Sean Spencer,Cathal Pendred,1,0,0,4.25,7.619995,0,2.539993,3,Orthodox vs Orthodox,0,2,-7.619995,0,-2.539993,-3,Orthodox vs Orthodox,Welterweight,2.25,-2.25
Cathal Pendred,Gasan Umalatov,Cathal Pendred,1,0,-5,4.25,5.080002,0,10.16,0,Orthodox vs Orthodox,5,4.25,-5.080002,0,-10.16,0,Orthodox vs Orthodox,Welterweight,0,0
CB Dollaway,Jesse Taylor,CB Dollaway,1,0,-1,1.888889,5.080002,15,7.619995,-20,Orthodox vs Orthodox,1,2.066667,-5.080002,-15,-7.619995,20,Orthodox vs Orthodox,Middleweight,-0.177777767181396,0.177777767181396
CB Dollaway,Mark Munoz,Mark Munoz,0,1,-6,1.888889,5.080002,0,12.7,6,Orthodox vs Orthodox,6,2.333333,-5.080002,0,-12.7,-6,Orthodox vs Orthodox,Middleweight,-0.444444417953491,0.444444417953491
CB Dollaway,Goran Reljic,CB Dollaway,1,0,1,1.888889,-2.539993,-20,-12.70001,3,Orthodox vs Southpaw,-1,1.875,2.539993,20,12.70001,-3,Southpaw vs Orthodox,Middleweight,1.38888359069824e-02,-1.38888359069824e-02
CB Dollaway,Cezar Ferreira,CB Dollaway,1,0,1,1.888889,2.540009,0,-5.080002,5,Orthodox vs Southpaw,-1,1.625,-2.540009,0,5.080002,-5,Southpaw vs Orthodox,Middleweight,0.263888835906982,-0.263888835906982
CB Dollaway,Tom Lawlor,Tom Lawlor,0,1,-1,1.888889,5.080002,-20,5.079987,10,Orthodox vs Southpaw,1,1.666667,-5.080002,20,-5.079987,-10,Southpaw vs Orthodox,Middleweight,0.222222208976746,-0.222222208976746
CB Dollaway,Nate Marquardt,Nate Marquardt,0,1,-4,1.888889,5.080002,0,5.079987,-28,Orthodox vs Orthodox,4,1.842105,-5.080002,0,-5.079987,28,Orthodox vs Orthodox,Middleweight,4.67835664749146e-02,-4.67835664749146e-02
CB Dollaway,Daniel Sarafian,CB Dollaway,1,0,-1,1.888889,12.70001,0,7.619995,10,Orthodox vs Orthodox,1,1.666667,-12.70001,0,-7.619995,-10,Orthodox vs Orthodox,Middleweight,0.222222208976746,-0.222222208976746
CB Dollaway,Ed Herman,CB Dollaway,1,0,-3,1.888889,2.540009,-20,-2.540009,-17,Orthodox vs Orthodox,3,1.6875,-2.540009,20,2.540009,17,Orthodox vs Orthodox,Light Heavyweight,0.201388835906982,-0.201388835906982
CB Dollaway,Amir Sadollah,Amir Sadollah,0,1,-3,1.888889,10.16,15,2.539993,15,Orthodox vs Orthodox,3,1.2,-10.16,-15,-2.539993,-15,Orthodox vs Orthodox,Middleweight,0.688888788223267,-0.688888788223267
CB Dollaway,Khalid Murtazaliev,Khalid Murtazaliev,0,1,10,1.888889,5.080002,0,0,10,Orthodox vs Orthodox,-10,7,-5.080002,0,0,-10,Orthodox vs Orthodox,Middleweight,-5.11111116409302,5.11111116409302
CB Dollaway,Lyoto Machida,Lyoto Machida,0,1,-5,1.888889,2.540009,0,5.079987,-6,Orthodox vs Southpaw,5,3,-2.540009,0,-5.079987,6,Southpaw vs Orthodox,Middleweight,-1.11111116409302,1.11111116409302
CB Dollaway,Jay Silva,CB Dollaway,1,0,,1.888889,0,0,2.039993,5,Orthodox vs Southpaw,,0.9090909,0,0,-2.039993,-5,Southpaw vs Orthodox,Middleweight,0.979797899723053,-0.979797899723053
CB Dollaway,Mike Massenzio,CB Dollaway,1,0,-1,1.888889,0,0,7.619995,4,Orthodox vs Southpaw,1,1.444444,0,0,-7.619995,-4,Southpaw vs Orthodox,Middleweight,0.444444417953491,-0.444444417953491
CB Dollaway,Jared Hamman,Jared Hamman,0,1,-1,1.888889,-2.539993,0,2.539993,6,Orthodox vs Orthodox,1,2.333333,2.539993,0,-2.539993,-6,Orthodox vs Orthodox,Middleweight,-0.444444417953491,0.444444417953491
CB Dollaway,Jason Miller,CB Dollaway,1,0,-3,1.888889,2.540009,0,5.039993,-7,Orthodox vs Orthodox,3,2.3,-2.540009,0,-5.039993,7,Orthodox vs Orthodox,Middleweight,-0.411111116409302,0.411111116409302
CB Dollaway,Hector Lombard,CB Dollaway,1,0,-6,1.888889,12.70001,0,12.7,-18,Orthodox vs Southpaw,6,3.4,-12.70001,0,-12.7,18,Southpaw vs Orthodox,Middleweight,-1.51111125946045,1.51111125946045
Cesar Arzamendia,Damien Brown,Damien Brown,0,1,-6,2.666667,2.539993,0,11.23,-18,Orthodox vs Orthodox,6,1.416667,-2.539993,0,-11.23,18,Orthodox vs Orthodox,Lightweight,1.25000011920929,-1.25000011920929
Cesar Arzamendia,Marco Polo Reyes,Marco Polo Reyes,0,1,-7,2.666667,0,0,3.610001,-4,Orthodox vs Orthodox,7,1.142857,0,0,-3.610001,4,Orthodox vs Orthodox,Lightweight,1.52380955219269,-1.52380955219269
Cesar Marscucci,Paulo Santos,Cesar Marscucci,1,0,,1.5,,,-12,2," vs ",,0,,,12,-2," vs ",Lightweight,1.5,-1.5
Cezar Ferreira,Daniel Sarafian,Cezar Ferreira,1,0,-3,1.625,10.16,0,12.7,5,Southpaw vs Orthodox,3,1.666667,-10.16,0,-12.7,-5,Orthodox vs Southpaw,Middleweight,-4.16666269302368e-02,4.16666269302368e-02
Cezar Ferreira,Sergio Moraes,Cezar Ferreira,1,0,-2,1.625,2.539993,15,15.23999,1,Southpaw vs Orthodox,2,2.333333,-2.539993,-15,-15.23999,-1,Orthodox vs Southpaw,Middleweight,-0.708333253860474,0.708333253860474
Cezar Ferreira,Thiago Santos,Cezar Ferreira,1,0,-1,1.625,-2.540009,-20,5.080002,-12,Southpaw vs Orthodox,1,2,2.540009,20,-5.080002,12,Orthodox vs Southpaw,Middleweight,-0.375,0.375
Cezar Ferreira,Elias Theodorou,Elias Theodorou,0,1,4,1.625,0,0,7.619995,2,Southpaw vs Orthodox,-4,5.333333,0,0,-7.619995,-2,Orthodox vs Southpaw,Middleweight,-3.70833349227905,3.70833349227905
Cezar Ferreira,Marvin Vettori,Marvin Vettori,0,1,9,1.625,2.539993,0,10.15999,-5,Southpaw vs Southpaw,-9,2.714286,-2.539993,0,-10.15999,5,Southpaw vs Southpaw,Middleweight,-1.08928561210632,1.08928561210632
Cezar Ferreira,Nate Marquardt,Cezar Ferreira,1,0,-6,1.625,2.539993,0,10.15999,-33,Southpaw vs Orthodox,6,1.842105,-2.539993,0,-10.15999,33,Orthodox vs Southpaw,Middleweight,-0.217105269432068,0.217105269432068
Cezar Ferreira,Jorge Masvidal,Jorge Masvidal,0,1,0,1.625,5.080002,15,10.15999,-31,Southpaw vs Orthodox,0,2.058824,-5.080002,-15,-10.15999,31,Orthodox vs Southpaw,Welterweight,-0.433823585510254,0.433823585510254
Cezar Ferreira,Ian Heinisch,Ian Heinisch,0,1,3,1.625,5.080002,0,15.23999,2,Southpaw vs Orthodox,-3,2.8,-5.080002,0,-15.23999,-2,Orthodox vs Southpaw,Middleweight,-1.17499995231628,1.17499995231628
Cezar Ferreira,Anthony Smith,Cezar Ferreira,1,0,4,1.625,-7.619995,-20,5.080002,-34,Southpaw vs Orthodox,-4,2.055556,7.619995,20,-5.080002,34,Orthodox vs Southpaw,Middleweight,-0.430555582046509,0.430555582046509
Cezar Ferreira,Karl Roberson,Cezar Ferreira,1,0,6,1.625,0,-20,10.15999,6,Southpaw vs Southpaw,-6,1.5,0,20,-10.15999,-6,Southpaw vs Southpaw,Middleweight,0.125,-0.125
Cezar Ferreira,Jack Hermansson,Cezar Ferreira,1,0,3,1.625,0,0,2.539993,-10,Southpaw vs Orthodox,-3,2.875,0,0,-2.539993,10,Orthodox vs Southpaw,Middleweight,-1.25,1.25
Chad Anheliger,Jesse Strader,Chad Anheliger,1,0,5,2,-2.539993,0,-15.24001,10,Orthodox vs Orthodox,-5,1.666667,2.539993,0,15.24001,-10,Orthodox vs Orthodox,Bantamweight,0.333333373069763,-0.333333373069763
Chad Laprise,Francisco Trinaldo,Francisco Trinaldo,0,1,-7,3.25,2.540009,0,2.539993,-20,Orthodox vs Southpaw,7,3.111111,-2.540009,0,-2.539993,20,Southpaw vs Orthodox,Lightweight,0.138888835906982,-0.138888835906982
Chad Laprise,Dhiego Lima,Dhiego Lima,0,1,3,3.25,-10.16,0,-10.16,-9,Orthodox vs Orthodox,-3,1.888889,10.16,0,10.16,9,Orthodox vs Orthodox,Welterweight,1.36111116409302,-1.36111116409302
Chad Laprise,Vicente Luque,Vicente Luque,0,1,5,3.25,-2.539993,0,-10.16,-14,Orthodox vs Orthodox,-5,2.444444,2.539993,0,10.16,14,Orthodox vs Orthodox,Welterweight,0.805555582046509,-0.805555582046509
Chad Laprise,Ross Pearson,Ross Pearson,0,1,-2,3.25,5.080002,15,5.080002,-19,Orthodox vs Orthodox,2,1.25,-5.080002,-15,-5.080002,19,Orthodox vs Orthodox,Lightweight,2,-2
Chad Mendes,Rani Yahya,Chad Mendes,1,0,0,3.6,0,10,-2.539993,-16,Orthodox vs Orthodox,0,2.545455,0,-10,2.539993,16,Orthodox vs Orthodox,Featherweight,1.05454540252686,-1.05454540252686
Chad Mendes,Michihiro Omigawa,Chad Mendes,1,0,-10,3.6,0,0,-5.080002,-8,Orthodox vs Orthodox,10,1.214286,0,0,5.080002,8,Orthodox vs Orthodox,Featherweight,2.38571417331696,-2.38571417331696
Chad Mendes,Alexander Volkanovski,Alexander Volkanovski,0,1,3,3.6,0,0,-12.7,-5,Orthodox vs Orthodox,-3,13,0,0,12.7,5,Orthodox vs Orthodox,Featherweight,-9.40000009536743,9.40000009536743
Chad Mendes,Yaotzin Meza,Chad Mendes,1,0,-4,3.6,-7.619995,0,-12.7,-9,Orthodox vs Orthodox,4,1.909091,7.619995,0,12.7,9,Orthodox vs Orthodox,Featherweight,1.69090902805328,-1.69090902805328
Chael Sonnen,Brian Stann,Chael Sonnen,1,0,3,1.933333,0,0,-2.540009,26,Southpaw vs Orthodox,-3,2,0,0,2.540009,-26,Orthodox vs Southpaw,Middleweight,-6.66667222976685e-02,6.66667222976685e-02
Chan Sung Jung,Alexander Volkanovski,Alexander Volkanovski,0,1,2,2.125,2.539993,0,2.540009,-3,Orthodox vs Orthodox,-2,13,-2.539993,0,-2.540009,3,Orthodox vs Orthodox,Featherweight,-10.875,10.875
Chan-Mi Jeon,Syuri Kondo,Syuri Kondo,0,1,-8,2.5,2.540009,0,-2.639999,-2,Orthodox vs Orthodox,8,2,-2.540009,0,2.639999,2,Orthodox vs Orthodox,"Women's Strawweight",0.5,-0.5
Chance Rencountre,Kyle Stewart,Chance Rencountre,1,0,3,3.5,5.080002,0,-2.539993,4,Southpaw vs Orthodox,-3,3.666667,-5.080002,0,2.539993,-4,Orthodox vs Southpaw,Welterweight,-0.166666746139526,0.166666746139526
Charles Byrd,Maki Pitolo,Maki Pitolo,0,1,7,1.428571,0,0,-5.080002,-5,Orthodox vs Orthodox,-7,1.444444,0,0,5.080002,5,Orthodox vs Orthodox,Middleweight,-1.58729553222656e-02,1.58729553222656e-02
Charles Byrd,Edmen Shahbazyan,Edmen Shahbazyan,0,1,14,1.428571,-10.16,0,-5.080002,1,Orthodox vs Orthodox,-14,3,10.16,0,5.080002,-1,Orthodox vs Orthodox,Middleweight,-1.57142853736877,1.57142853736877
Charles Byrd,Darren Stewart,Darren Stewart,0,1,7,1.428571,-5.080002,-20,-2.540009,-3,Orthodox vs Orthodox,-7,1.5,5.080002,20,2.540009,3,Orthodox vs Orthodox,Middleweight,-7.14285373687744e-02,7.14285373687744e-02
Charles Byrd,John Phillips,Charles Byrd,1,0,2,1.428571,-2.539993,0,-5.080002,-16,Orthodox vs Southpaw,-2,2,2.539993,0,5.080002,16,Southpaw vs Orthodox,Middleweight,-0.571428537368774,0.571428537368774
Charles Johnson,Zhalgas Zhumagulov,Charles Johnson,1,0,-3,2.6,12.7,0,10.16,-5,Switch vs Switch,3,1.555556,-12.7,0,-10.16,5,Switch vs Switch,Flyweight,1.04444432258606,-1.04444432258606
Charles Johnson,Muhammad Mokaev,Muhammad Mokaev,0,1,10,2.6,5.080002,0,0,8,Switch vs Orthodox,-10,10,-5.080002,0,0,-8,Orthodox vs Switch,Flyweight,-7.40000009536743,7.40000009536743
Charles Johnson,Ode Osbourne,Ode Osbourne,0,1,1,2.6,5.080002,0,-7.619995,0,Switch vs Southpaw,-1,2,-5.080002,0,7.619995,0,Southpaw vs Switch,Catch Weight,0.599999904632568,-0.599999904632568
Charles Jourdain,Marcelo Rojo,Charles Jourdain,1,0,-7,2.5,2.539993,0,-5.080002,-5,Switch vs Orthodox,7,1.6,-2.539993,0,5.080002,5,Orthodox vs Switch,Featherweight,0.899999976158142,-0.899999976158142
Charles Jourdain,Lando Vannata,Charles Jourdain,1,0,-4,2.5,0,-10,-5.080002,2,Switch vs Orthodox,4,1.714286,0,10,5.080002,-2,Orthodox vs Switch,Featherweight,0.785714268684387,-0.785714268684387
Charles Jourdain,Nathaniel Wood,Nathaniel Wood,0,1,-3,2.5,7.619995,0,0,-4,Switch vs Orthodox,3,4,-7.619995,0,0,4,Orthodox vs Switch,Featherweight,-1.5,1.5
Charles Jourdain,Ricardo Ramos,Charles Jourdain,1,0,-1,2.5,0,0,-7.62001,0,Switch vs Orthodox,1,3.2,0,0,7.62001,0,Orthodox vs Switch,Featherweight,-0.700000047683716,0.700000047683716
Charles McCarthy,Gideon Ray,Charles McCarthy,1,0,-7,2,0,0,0.3399963,-17,Orthodox vs Southpaw,7,1.133333,0,0,-0.3399963,17,Southpaw vs Orthodox,Middleweight,0.866666674613953,-0.866666674613953
Charles Oliveira,Eric Wisely,Charles Oliveira,1,0,-5,3.777778,5.080002,10,12.96001,8,Orthodox vs Southpaw,5,2.888889,-5.080002,-10,-12.96001,-8,Southpaw vs Orthodox,Featherweight,0.888888835906982,-0.888888835906982
Charles Oliveira,David Teymur,Charles Oliveira,1,0,0,3.777778,2.540009,0,2.540009,33,Orthodox vs Southpaw,0,4,-2.540009,0,-2.540009,-33,Southpaw vs Orthodox,Lightweight,-0.222222328186035,0.222222328186035
Charles Oliveira,Anthony Pettis,Anthony Pettis,0,1,-3,3.777778,0,0,5.080002,9,Orthodox vs Orthodox,3,2.4,0,0,-5.080002,-9,Orthodox vs Orthodox,Featherweight,1.37777757644653,-1.37777757644653
Charles Oliveira,Cub Swanson,Cub Swanson,0,1,-6,3.777778,5.080002,10,10.16,1,Orthodox vs Orthodox,6,2.230769,-5.080002,-10,-10.16,-1,Orthodox vs Orthodox,Featherweight,1.5470085144043,-1.5470085144043
Charles Oliveira,Jeremy Stephens,Charles Oliveira,1,0,-3,3.777778,2.540009,10,7.62001,-4,Orthodox vs Orthodox,3,1.473684,-2.540009,-10,-7.62001,4,Orthodox vs Orthodox,Featherweight,2.30409348011017,-2.30409348011017
Charles Oliveira,Dustin Poirier,Charles Oliveira,1,0,0,3.777778,2.540009,0,5.080002,6,Orthodox vs Southpaw,0,3.625,-2.540009,0,-5.080002,-6,Southpaw vs Orthodox,Lightweight,0.152777671813965,-0.152777671813965
Charles Rosa,Nathaniel Wood,Nathaniel Wood,0,1,6,1.75,7.619995,0,0,-3,Switch vs Orthodox,-6,4,-7.619995,0,0,3,Orthodox vs Switch,Featherweight,-2.25,2.25
Charles Rosa,Sean Soriano,Charles Rosa,1,0,3,1.75,0,0,-2.540009,0,Switch vs Orthodox,-3,1.75,0,0,2.540009,0,Orthodox vs Switch,Featherweight,0,0
Charles Rosa,Dennis Siver,Dennis Siver,0,1,-7,1.75,7.619995,0,-2.540009,-12,Switch vs Orthodox,7,2.090909,-7.619995,0,2.540009,12,Orthodox vs Switch,Featherweight,-0.340909004211426,0.340909004211426
Charlie Brenneman,Beneil Dariush,Beneil Dariush,0,1,8,2.375,0,0,-5.080002,0,Orthodox vs Southpaw,-8,4.4,0,0,5.080002,0,Southpaw vs Orthodox,Lightweight,-2.02500009536743,2.02500009536743
Charlie Brenneman,Erick Silva,Erick Silva,0,1,4,2.375,-5.080002,-15,-10.16,-1,Orthodox vs Orthodox,-4,2.111111,5.080002,15,10.16,1,Orthodox vs Orthodox,Welterweight,0.263888835906982,-0.263888835906982
Charlie Brenneman,Johny Hendricks,Johny Hendricks,0,1,3,2.375,2.540009,-30,2.540009,1,Orthodox vs Southpaw,-3,2.25,-2.540009,30,-2.540009,-1,Southpaw vs Orthodox,Welterweight,0.125,-0.125
Charlie Brenneman,Danny Castillo,Danny Castillo,0,1,-1,2.375,2.540009,0,-2.539993,0,Orthodox vs Orthodox,1,1.7,-2.540009,0,2.539993,0,Orthodox vs Orthodox,Lightweight,0.674999952316284,-0.674999952316284
Charlie Brenneman,Leandro Silva,Leandro Silva,0,1,5,2.375,2.540009,0,-5.080002,1,Orthodox vs Orthodox,-5,3.333333,-2.540009,0,5.080002,-1,Orthodox vs Orthodox,Lightweight,-0.958333253860474,0.958333253860474
Charlie Brenneman,Kyle Noke,Kyle Noke,0,1,-1,2.375,-7.619995,-15,-15.23999,-5,Orthodox vs Southpaw,1,2.2,7.619995,15,15.23999,5,Southpaw vs Orthodox,Welterweight,0.174999952316284,-0.174999952316284
Charlie Brenneman,Rick Story,Charlie Brenneman,1,0,4,2.375,2.540009,-15,-2.539993,-1,Orthodox vs Southpaw,-4,2.111111,-2.540009,15,2.539993,1,Southpaw vs Orthodox,Welterweight,0.263888835906982,-0.263888835906982
Charlie Brenneman,Anthony Johnson,Anthony Johnson,0,1,3,2.375,-10.16,-50,-20.31999,-1,Orthodox vs Orthodox,-3,3.666667,10.16,50,20.31999,1,Orthodox vs Orthodox,Welterweight,-1.29166674613953,1.29166674613953
Charlie Brenneman,Jason High,Charlie Brenneman,1,0,1,2.375,5.080002,0,-7.619995,0,Orthodox vs Southpaw,-1,3.5,-5.080002,0,7.619995,0,Southpaw vs Orthodox,Welterweight,-1.125,1.125
Charlie Brenneman,Daniel Roberts,Charlie Brenneman,1,0,-1,2.375,0,-15,-10.16,5,Orthodox vs Southpaw,1,2.142857,0,15,10.16,-5,Southpaw vs Orthodox,Welterweight,0.232142925262451,-0.232142925262451
Charlie Campbell,Alex Reyes,Charlie Campbell,1,0,-8,4,2.540009,0,-2.539993,-7,Orthodox vs Orthodox,8,3.25,-2.540009,0,2.539993,7,Orthodox vs Orthodox,Lightweight,0.75,-0.75
Chas Skelly,Edimilson Souza,Chas Skelly,1,0,-1,6.333333,-2.540009,0,-5.080002,2,Orthodox vs Orthodox,1,3,2.540009,0,5.080002,-2,Orthodox vs Orthodox,Featherweight,3.33333349227905,-3.33333349227905
Chas Skelly,Mark Striegl,Chas Skelly,1,0,3,6.333333,7.619995,0,5.080002,0,Orthodox vs Southpaw,-3,4.5,-7.619995,0,-5.080002,0,Southpaw vs Orthodox,Featherweight,1.83333349227905,-1.83333349227905
Chas Skelly,Sean Soriano,Chas Skelly,1,0,5,6.333333,5.080002,0,5.080002,0,Orthodox vs Orthodox,-5,1.75,-5.080002,0,-5.080002,0,Orthodox vs Orthodox,Featherweight,4.58333349227905,-4.58333349227905
Chase Gormley,Stefan Struve,Stefan Struve,0,1,,2.333333,-20.32001,0,-20.36,-26,Orthodox vs Orthodox,,2.538461,20.32001,0,20.36,26,Orthodox vs Orthodox,Heavyweight,-0.205128192901611,0.205128192901611
Chase Gormley,Brendan Schaub,Brendan Schaub,0,1,,2.333333,-2.539993,20,-5.119995,5,Orthodox vs Orthodox,,2,2.539993,-20,5.119995,-5,Orthodox vs Orthodox,Heavyweight,0.333333253860474,-0.333333253860474
Chase Hooper,Daniel Teymur,Chase Hooper,1,0,-11,4,20.31999,10,12.70001,4,Southpaw vs Orthodox,11,1.75,-20.31999,-10,-12.70001,-4,Orthodox vs Southpaw,Featherweight,2.25,-2.25
Chase Hooper,Steven Peterson,Steven Peterson,0,1,-10,4,7.619995,10,10.16,-15,Southpaw vs Orthodox,10,1.727273,-7.619995,-10,-10.16,15,Orthodox vs Southpaw,Featherweight,2.27272725105286,-2.27272725105286
Chase Sherman,Jared Vanderaa,Chase Sherman,1,0,2,1.333333,0,-15,-5.080002,6,Orthodox vs Orthodox,-2,1.2,0,15,5.080002,-6,Orthodox vs Orthodox,Heavyweight,0.133333325386047,-0.133333325386047
Chase Sherman,Karl Williams,Karl Williams,0,1,0,1.333333,2.539993,15,-2.540009,18,Orthodox vs Orthodox,0,9,-2.539993,-15,2.540009,-18,Orthodox vs Orthodox,Heavyweight,-7.66666662693024,7.66666662693024
Chase Sherman,Justin Willis,Justin Willis,0,1,-2,1.333333,7.619995,-14,0,18,Orthodox vs Southpaw,2,4,-7.619995,14,0,-18,Southpaw vs Orthodox,Heavyweight,-2.66666662693024,2.66666662693024
Chase Sherman,Ike Villanueva,Chase Sherman,1,0,-6,1.333333,7.619995,45,12.7,-4,Orthodox vs Orthodox,6,1.285714,-7.619995,-45,-12.7,4,Orthodox vs Orthodox,Heavyweight,4.7619104385376e-02,-4.7619104385376e-02
Cheick Kongo,Assuerio Silva,Cheick Kongo,1,0,-1,2.7,15.23999,-1,28.28,13,Orthodox vs Orthodox,1,2,-15.23999,1,-28.28,-13,Orthodox vs Orthodox,Heavyweight,0.700000047683716,-0.700000047683716
Cheick Kongo,Carmelo Marrero,Carmelo Marrero,0,1,6,2.7,10.15999,35,22.86,15,Orthodox vs Orthodox,-6,2.666667,-10.15999,-35,-22.86,-15,Orthodox vs Orthodox,Heavyweight,3.33333015441895e-02,-3.33333015441895e-02
Cheick Kongo,Christian Wellisch,Cheick Kongo,1,0,1,2.7,5.079987,6,12.7,24,Orthodox vs Orthodox,-1,1.6,-5.079987,-6,-12.7,-24,Orthodox vs Orthodox,Heavyweight,1.10000002384186,-1.10000002384186
Cheick Kongo,Cain Velasquez,Cain Velasquez,0,1,8,2.7,7.619995,0,12.7,20,Orthodox vs Orthodox,-8,4.666667,-7.619995,0,-12.7,-20,Orthodox vs Orthodox,Heavyweight,-1.96666646003723,1.96666646003723
Cheick Kongo,Matt Mitrione,Cheick Kongo,1,0,3,2.7,2.539993,-25,0,20,Orthodox vs Switch,-3,2.4,-2.539993,25,0,-20,Switch vs Orthodox,Heavyweight,0.299999952316284,-0.299999952316284
Cheick Kongo,Frank Mir,Frank Mir,0,1,4,2.7,2.539993,-24,7.619995,8,Orthodox vs Southpaw,-4,1.636364,-2.539993,24,-7.619995,-8,Southpaw vs Orthodox,Heavyweight,1.06363642215729,-1.06363642215729
Cheick Kongo,Roy Nelson,Roy Nelson,0,1,1,2.7,10.15999,-23,22.86,1,Orthodox vs Orthodox,-1,1.571429,-10.15999,23,-22.86,-1,Orthodox vs Orthodox,Heavyweight,1.12857151031494,-1.12857151031494
Chelsea Chandler,Norma Dumont,Norma Dumont,0,1,0,2.5,2.540009,0,2.540009,-5,Southpaw vs Orthodox,0,5,-2.540009,0,-2.540009,5,Orthodox vs Southpaw,"Women's Featherweight",-2.5,2.5
Chelsea Chandler,Julija Stoliarenko,Chelsea Chandler,1,0,2,2.5,2.540009,20,5.080002,-12,Southpaw vs Orthodox,-2,1.375,-2.540009,-20,-5.080002,12,Orthodox vs Southpaw,Catch Weight,1.125,-1.125
Chepe Mariscal,Trevor Peek,Chepe Mariscal,1,0,2,2.5,-5.080002,-10,-2.540009,12,Orthodox vs Switch,-2,8,5.080002,10,2.540009,-12,Switch vs Orthodox,Lightweight,-5.5,5.5
Chico Camus,Kyung Ho Kang,Chico Camus,1,0,3,2.428571,-7.619995,-10,-17.78,-4,Orthodox vs Orthodox,-3,2.111111,7.619995,10,17.78,4,Orthodox vs Orthodox,Bantamweight,0.317460298538208,-0.317460298538208
Chico Camus,Chris Holdsworth,Chris Holdsworth,0,1,3,2.428571,-12.7,-10,-16.36,18,"Orthodox vs ",-3,6,12.7,10,16.36,-18," vs Orthodox",Bantamweight,-3.57142853736877,3.57142853736877
Chico Camus,Brad Pickett,Chico Camus,1,0,-7,2.428571,0,-10,-5.080002,-15,Orthodox vs Orthodox,7,1.785714,0,10,5.080002,15,Orthodox vs Orthodox,Flyweight,0.642857193946838,-0.642857193946838
Chico Camus,Dustin Kimura,Dustin Kimura,0,1,5,2.428571,-2.539993,-10,-12.7,10,Orthodox vs Orthodox,-5,3.666667,2.539993,10,12.7,-10,Orthodox vs Orthodox,Bantamweight,-1.2380952835083,1.2380952835083
Chico Camus,Dustin Pague,Chico Camus,1,0,2,2.428571,-7.619995,-10,-20.32001,1,Orthodox vs Orthodox,-2,1.090909,7.619995,10,20.32001,-1,Orthodox vs Orthodox,Bantamweight,1.33766233921051,-1.33766233921051
Chico Camus,Henry Cejudo,Henry Cejudo,0,1,2,2.428571,5.080002,-10,5.080002,5,Orthodox vs Orthodox,-2,5.333333,-5.080002,10,-5.080002,-5,Orthodox vs Orthodox,Flyweight,-2.90476202964783,2.90476202964783
Chico Camus,Kyoji Horiguchi,Kyoji Horiguchi,0,1,6,2.428571,2.539993,0,0,3,Orthodox vs Orthodox,-6,9.5,-2.539993,0,0,-3,Orthodox vs Orthodox,Flyweight,-7.07142853736877,7.07142853736877
Chidi Njokuani,Dusko Todorovic,Chidi Njokuani,1,0,5,2.2,5.080002,0,15.23999,16,Orthodox vs Orthodox,-5,3,-5.080002,0,-15.23999,-16,Orthodox vs Orthodox,Middleweight,-0.799999952316284,0.799999952316284
Chidi Njokuani,Gregory Rodrigues,Gregory Rodrigues,0,1,3,2.2,0,0,12.7,13,Orthodox vs Orthodox,-3,2.8,0,0,-12.7,-13,Orthodox vs Orthodox,Middleweight,-0.599999904632568,0.599999904632568
