l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Enrique Barzola,Bobby Moffett,Enrique Barzola,0,244,88,239,83,7,3,0,0,0,247,98,236,90,1,0,0,0,39,24,Decision,3,3,5:00,1,0,0.800000190734863,-0.800000190734863
Enrique Marin,Sage Northcutt,Sage Northcutt,0,48,26,36,16,10,4,2,0,0,135,106,66,41,2,0,1,1,447,264,Decision,3,3,5:00,0,1,-3,3
Enrique Marin,Erick Montano,Erick Montano,0,102,33,94,27,3,1,0,2,0,126,59,116,49,3,2,0,1,208,162,Decision,3,3,5:00,0,1,1.10000002384186,-1.10000002384186
Eric Martin,Justin Martin,Justin Martin,,,,,,,,,,,,,,,,,,,0,0,Submission,1,1,0:14,0,1,-1.33333337306976,1.33333337306976
Eric Schafer,Aaron Simpson,Aaron Simpson,0,107,17,102,14,0,0,0,0,2,145,63,140,58,0,0,0,0,0,30,Decision,3,3,5:00,0,1,-0.650000095367432,0.650000095367432
Eric Spicely,Deron Winn,Deron Winn,0,224,108,224,108,0,0,0,0,0,369,171,367,169,3,0,0,0,3,78,Decision,3,3,5:00,0,1,-0.333333253860474,0.333333253860474
Eric Spicely,Darren Stewart,Darren Stewart,0,79,19,75,15,4,0,0,0,1,90,34,90,34,0,0,0,0,63,15,KO/TKO,3,2,1:47,0,1,0.5,-0.5
Eric Wisely,Jason Young,Jason Young,0,157,118,69,36,1,0,0,0,0,179,133,86,44,6,4,0,0,9,511,Decision,3,3,5:00,0,1,1.38888883590698,-1.38888883590698
Erick Gonzalez,Jim Miller,Jim Miller,0,45,22,37,14,2,1,0,0,1,60,43,48,32,2,1,0,0,62,115,KO/TKO,3,2,0:14,0,1,-0.367647171020508,0.367647171020508
Erick Gonzalez,Terrance McKinney,Terrance McKinney,0,18,10,16,9,1,0,0,0,0,42,23,37,18,1,1,1,0,0,52,Submission,3,1,2:17,0,1,-1.04999995231628,1.04999995231628
Erick Gonzalez,Trevor Peek,Trevor Peek,0,35,11,29,7,6,4,0,0,2,86,51,86,51,1,0,0,0,135,16,KO/TKO,3,1,4:59,0,1,-6.25,6.25
Erick Silva,Nordine Taleb,Nordine Taleb,0,32,11,32,11,1,0,0,0,1,50,26,50,26,1,1,0,0,0,5,KO/TKO,3,2,1:34,0,1,-3.17459106445313e-02,3.17459106445313e-02
Ericka Almeida,Aisling Daly,Aisling Daly,0,91,57,44,19,1,1,0,0,0,216,166,105,59,5,2,0,0,180,668,Decision,3,3,5:00,0,1,-0.333333492279053,0.333333492279053
Ericka Almeida,Juliana Lima,Juliana Lima,0,58,32,37,13,2,0,0,0,0,162,119,72,41,3,3,0,0,33,591,Decision,3,3,5:00,0,1,0.533333301544189,-0.533333301544189
Erik Koch,Dustin Poirier,Dustin Poirier,0,93,50,74,32,0,0,5,0,2,112,74,92,54,6,2,2,0,209,451,Decision,3,3,5:00,0,1,-0.958333253860474,0.958333253860474
Erik Koch,Rafaello Oliveira,Erik Koch,1,27,19,27,19,0,0,0,0,0,6,1,6,1,0,0,0,0,24,0,KO/TKO,3,1,1:24,1,0,0.541666746139526,-0.541666746139526
Erik Koch,Ricardo Lamas,Ricardo Lamas,0,55,25,44,14,0,0,0,0,0,65,40,56,32,8,2,0,0,20,195,KO/TKO,3,2,2:32,0,1,0.166666746139526,-0.166666746139526
Erik Koch,Kyle Stewart,Erik Koch,0,99,67,63,37,11,4,0,0,0,119,68,64,23,8,0,0,0,540,135,Decision,3,3,5:00,1,0,-1,1
Erik Perez,Francisco Rivera,Erik Perez,0,259,147,156,54,6,2,0,0,0,163,59,158,55,0,0,0,0,300,1,Decision,3,3,5:00,1,0,1.2619047164917,-1.2619047164917
Erik Perez,Ken Stone,Erik Perez,1,11,9,11,9,0,0,0,0,0,3,2,3,2,0,0,0,0,4,0,KO/TKO,3,1,0:17,1,0,8.33332538604736e-02,-8.33332538604736e-02
Erin Blanchfield,Molly McCann,Erin Blanchfield,0,115,93,38,25,1,1,2,0,0,13,7,13,7,0,0,0,0,168,0,Submission,3,1,3:37,1,0,9.83333325386047,-9.83333325386047
Erin Blanchfield,Miranda Maverick,Erin Blanchfield,0,128,96,69,46,8,7,1,0,0,88,42,65,21,1,0,0,0,720,6,Decision,3,3,5:00,1,0,9.20000004768372,-9.20000004768372
Erin Blanchfield,Taila Santos,Erin Blanchfield,0,210,119,128,61,14,0,0,0,0,202,96,151,55,3,0,0,0,488,9,Decision,3,3,5:00,1,0,5.66666650772095,-5.66666650772095
Ernest Chavez,Elias Silverio,Elias Silverio,0,146,61,139,54,4,0,0,0,0,172,65,172,65,1,1,1,0,156,38,Submission,3,3,4:21,0,1,0.666666507720947,-0.666666507720947
Ernest Chavez,Zubaira Tukhugov,Zubaira Tukhugov,0,30,12,30,12,0,0,0,0,0,70,43,67,40,0,0,0,0,0,7,KO/TKO,3,1,4:21,0,1,1.66666674613953,-1.66666674613953
Eryk Anders,Khalil Rountree Jr.,Khalil Rountree Jr.,0,72,19,69,16,1,0,0,0,4,162,83,157,79,0,0,0,0,27,68,Decision,3,3,5:00,0,1,-0.724999904632568,0.724999904632568
Eryk Anders,JunYong Park,JunYong Park,0,155,75,142,65,24,3,0,0,0,187,108,184,105,1,0,0,1,285,31,Decision,3,3,5:00,0,1,-1.52500009536743,1.52500009536743
Eryk Anders,Kyle Daukaus,Eryk Anders,1,159,97,94,49,1,1,0,0,0,83,38,79,37,8,0,0,0,146,44,KO/TKO,3,2,2:45,1,0,-0.875,0.875
Eryk Anders,Gerald Meerschaert,Eryk Anders,0,178,64,178,64,0,0,0,0,0,202,72,202,72,1,0,0,0,9,0,Decision,3,3,5:00,1,0,-0.183823585510254,0.183823585510254
Eryk Anders,Tim Williams,Eryk Anders,2,97,46,93,42,1,0,0,0,0,126,52,113,43,5,2,0,0,71,91,KO/TKO,3,3,4:42,1,0,-1.125,1.125
Eryk Anders,Elias Theodorou,Elias Theodorou,1,134,66,133,65,1,0,0,0,0,221,102,211,92,3,0,0,0,23,36,Decision,3,3,5:00,0,1,-3.45833349227905,3.45833349227905
Eryk Anders,Markus Perez,Eryk Anders,0,171,104,141,79,4,2,0,0,0,72,41,60,30,5,2,1,0,472,49,Decision,3,3,5:00,1,0,-0.525000095367432,0.525000095367432
Eryk Anders,Vinicius Moreira,Eryk Anders,1,17,13,15,11,0,0,0,0,0,3,2,3,2,5,0,0,0,10,41,KO/TKO,3,1,1:18,1,0,7.50000476837158e-02,-7.50000476837158e-02
Eryk Anders,Lyoto Machida,Lyoto Machida,0,94,46,77,32,11,3,0,0,0,116,66,112,62,0,0,0,0,227,137,Decision,5,5,5:00,0,1,-1.125,1.125
Eryk Anders,Marc-Andre Barriault,Marc-Andre Barriault,0,173,87,169,83,11,1,0,0,1,200,103,192,95,0,0,0,0,198,40,Decision,3,3,5:00,0,1,-0.791666746139526,0.791666746139526
Eryk Anders,Rafael Natal,Eryk Anders,1,29,23,29,23,2,1,0,0,0,24,15,23,14,1,0,0,0,46,0,KO/TKO,3,1,2:54,1,0,-0.458333253860474,0.458333253860474
Eryk Anders,Thiago Santos,Thiago Santos,0,69,34,67,32,10,6,1,0,0,167,115,152,100,1,1,0,1,353,112,KO/TKO,5,3,5:00,0,1,-0.125,0.125
Eryk Anders,Darren Stewart,Eryk Anders,0,148,112,74,44,4,0,0,1,0,93,63,58,33,4,2,0,0,499,135,Decision,3,3,5:00,1,0,0.375,-0.375
Eryk Anders,Krzysztof Jotko,Krzysztof Jotko,0,132,73,97,41,5,0,0,0,0,154,101,116,66,5,0,0,0,351,46,Decision,3,3,5:00,0,1,-2.125,2.125
Eryk Anders,Andre Muniz,Andre Muniz,0,13,3,13,3,1,0,0,0,0,20,12,16,8,5,2,2,0,0,138,Submission,3,1,3:13,0,1,-1.95833325386047,1.95833325386047
Estevan Payan,Alex White,Alex White,0,23,10,23,10,0,0,0,0,1,30,20,30,20,0,0,0,0,0,3,KO/TKO,3,1,1:28,0,1,-0.833333373069763,0.833333373069763
Estevan Payan,Robert Peralta,Robert Peralta,0,95,62,65,32,1,1,0,1,1,90,53,68,34,2,2,0,0,225,185,KO/TKO,3,3,0:12,0,1,-0.916666626930237,0.916666626930237
Estevan Payan,Jeremy Stephens,Jeremy Stephens,0,118,46,94,25,0,0,1,0,0,123,82,88,49,10,6,1,0,17,546,Decision,3,3,5:00,0,1,-0.140350818634033,0.140350818634033
Eugene Jackson,Keith Rockel,Eugene Jackson,0,47,44,3,1,1,0,1,0,0,25,21,10,6,2,2,2,0,4,331,Submission,3,2,1:14,1,0,-1.33333337306976,1.33333337306976
Eugene Jackson,Mark Weir,Mark Weir,0,1,0,1,0,0,0,0,0,1,6,4,6,4,0,0,0,0,0,1,KO/TKO,3,1,0:10,0,1,0.5,-0.5
Eugene Jackson,Sanae Kikuta,Sanae Kikuta,0,33,26,5,4,0,0,1,0,0,33,20,16,8,2,2,2,0,0,217,Submission,3,1,4:38,0,1,-1.77777779102325,1.77777779102325
Eugene Jackson,Keiichiro Yamamiya,Eugene Jackson,1,131,47,105,22,1,0,0,0,0,62,18,58,14,0,0,0,0,156,51,KO/TKO,3,3,3:12,1,0,0.38095235824585,-0.38095235824585
Evan Dunham,Nik Lentz,Evan Dunham,0,129,100,97,68,2,2,1,0,0,96,57,76,39,8,2,0,0,291,60,KO/TKO,3,2,5:00,1,0,-0.5,0.5
Evan Dunham,Per Eklund,Evan Dunham,1,28,14,27,13,0,0,1,0,0,18,14,13,9,1,1,1,0,31,32,KO/TKO,3,1,2:13,1,0,-0.799999952316284,0.799999952316284
Evan Dunham,Tyson Griffin,Evan Dunham,0,107,52,73,28,6,3,1,0,0,117,62,70,26,2,0,1,0,535,18,Decision,3,3,5:00,1,0,0,0
Evan Dunham,Sean Sherk,Sean Sherk,0,216,123,164,75,0,0,7,0,0,165,81,115,38,18,5,0,1,34,490,Decision,3,3,5:00,0,1,-7,7
Evan Dunham,Ross Pearson,Evan Dunham,0,119,88,48,26,13,5,1,0,0,67,47,28,16,0,0,0,0,660,10,Decision,3,3,5:00,1,0,0.75,-0.75
Evan Dunham,Joe Lauzon,Evan Dunham,0,318,147,291,127,3,1,0,0,0,115,44,113,42,3,0,0,0,110,15,Decision,3,3,5:00,1,0,0.25,-0.25
Evan Dunham,Melvin Guillard,Melvin Guillard,0,10,2,10,2,6,1,0,0,2,44,28,33,17,0,0,0,0,58,5,KO/TKO,3,1,2:58,0,1,0.222222208976746,-0.222222208976746
Evan Dunham,Gleison Tibau,Evan Dunham,0,245,98,237,91,9,0,0,0,0,169,37,169,37,9,2,1,0,92,110,Decision,3,3,5:00,1,0,-0.357142925262451,0.357142925262451
Evan Dunham,TJ Grant,TJ Grant,0,410,183,377,160,8,3,0,0,0,309,171,300,164,3,0,0,0,108,40,Decision,3,3,5:00,0,1,-2.19999980926514,2.19999980926514
Evan Dunham,Francisco Trinaldo,Francisco Trinaldo,0,88,28,85,25,2,1,0,0,1,69,28,69,28,1,0,0,1,32,58,KO/TKO,3,2,4:10,0,1,-1.11111116409302,1.11111116409302
Evan Dunham,Ricky Glenn,Evan Dunham,0,330,185,279,144,9,3,2,0,0,161,63,156,58,3,0,0,0,423,0,Decision,3,3,5:00,1,0,-1.14285707473755,1.14285707473755
Evan Dunham,Efrain Escudero,Evan Dunham,0,109,48,80,22,4,3,1,0,1,86,38,74,26,1,0,2,1,210,172,Submission,3,3,1:59,1,0,-0.333333253860474,0.333333253860474
Evan Elder,Genaro Valdez,Evan Elder,1,195,96,195,96,1,1,1,0,1,237,65,236,64,0,0,0,0,6,0,Decision,3,3,5:00,1,0,0.666666746139526,-0.666666746139526
Evan Elder,Preston Parsons,Preston Parsons,0,67,34,60,27,2,0,0,2,0,160,121,112,75,6,4,5,1,107,468,Decision,3,3,5:00,0,1,1.5,-1.5
Evan Elder,Nazim Sadykhov,Nazim Sadykhov,1,158,84,142,70,6,1,0,0,0,141,71,132,64,1,1,0,0,93,19,KO/TKO,3,3,0:38,0,1,-5,5
Evan Tanner,David Terrell,Evan Tanner,0,77,62,28,19,0,0,0,0,0,11,4,9,4,2,2,1,0,189,21,KO/TKO,5,1,4:35,1,0,1,-1
Fabiano Iha,Daiju Takase,Fabiano Iha,0,20,16,12,8,1,1,0,0,0,3,1,2,0,0,0,0,0,116,0,KO/TKO,3,1,2:24,1,0,0.999999940395355,-0.999999940395355
Fabiano Iha,Phil Johns,Fabiano Iha,0,6,3,6,3,2,1,1,0,0,7,6,3,2,1,0,0,0,51,16,Submission,3,1,1:40,1,0,-0.342857122421265,0.342857122421265
Fabiano Iha,Din Thomas,Din Thomas,0,78,46,45,19,7,2,2,0,0,128,98,69,42,1,1,0,0,343,369,Decision,3,3,5:00,0,1,-1.0888888835907,1.0888888835907
Fabiano Iha,Caol Uno,Caol Uno,0,14,7,13,6,0,0,1,0,0,24,14,17,8,4,2,0,0,0,54,KO/TKO,3,1,1:48,0,1,6.31577968597412e-02,-6.31577968597412e-02
Fabiano Iha,Dave Menne,Dave Menne,0,61,44,22,8,12,1,0,0,0,199,130,99,37,0,0,1,0,38,583,Decision,3,3,5:00,0,1,-0.847058773040771,0.847058773040771
Fabiano Scherner,Brandon Vera,Brandon Vera,0,50,28,32,10,2,1,0,0,2,52,39,41,28,1,0,0,0,77,203,KO/TKO,3,2,3:22,0,1,-1.04285705089569,1.04285705089569
Fabio Cherant,Alonzo Menifield,Alonzo Menifield,0,1,0,1,0,0,0,0,0,0,3,3,3,3,1,1,1,0,0,67,Submission,3,1,1:11,0,1,-2.91666650772095,2.91666650772095
Fabio Cherant,Carlos Ulberg,Carlos Ulberg,0,41,13,41,13,0,0,0,0,0,117,71,112,66,2,2,0,0,22,75,Decision,3,3,5:00,0,1,-8.25,8.25
Fabio Cherant,William Knight,William Knight,0,23,15,23,15,0,0,0,0,1,24,14,24,14,0,0,0,0,0,2,KO/TKO,3,1,3:58,0,1,-0.450000047683716,0.450000047683716
Fabio Maldonado,Igor Pokrajac,Igor Pokrajac,0,215,166,137,98,1,0,0,0,0,111,64,80,36,4,1,0,0,166,367,Decision,3,3,5:00,0,1,-6.29372596740723e-02,6.29372596740723e-02
Fabio Maldonado,Gian Villante,Fabio Maldonado,0,237,150,217,132,0,0,0,0,0,108,46,92,33,12,3,0,0,21,346,Decision,3,3,5:00,1,0,0.876623272895813,-0.876623272895813
Fabio Maldonado,James McSweeney,Fabio Maldonado,1,184,143,123,89,1,0,2,0,0,111,58,99,49,1,0,0,0,204,71,KO/TKO,3,3,0:48,1,0,1.09090900421143,-1.09090900421143
Fabio Maldonado,Glover Teixeira,Glover Teixeira,0,40,14,36,10,0,0,0,0,1,183,117,145,85,3,3,1,0,0,418,KO/TKO,3,2,5:00,0,1,-1.5757577419281,1.5757577419281
Fabio Maldonado,Stipe Miocic,Stipe Miocic,0,8,2,8,2,0,0,0,0,1,18,11,14,8,0,0,0,0,0,4,KO/TKO,5,1,0:35,0,1,-2.90909099578857,2.90909099578857
Fabio Maldonado,Hans Stringer,Fabio Maldonado,0,107,74,46,28,0,0,0,0,0,95,78,46,33,3,3,0,0,103,357,KO/TKO,3,2,4:06,1,0,-0.659090995788574,0.659090995788574
Fabricio Camoes,Kurt Pellegrino,Kurt Pellegrino,0,22,19,11,8,5,1,2,0,0,91,71,29,16,1,1,2,1,100,407,Submission,3,2,4:20,0,1,-0.730158805847168,0.730158805847168
Fabricio Camoes,Anthony Rocco Martin,Anthony Rocco Martin,0,8,1,8,1,0,0,0,0,0,12,2,11,1,1,1,3,0,3,177,Submission,3,1,4:16,0,1,-1.27777767181396,1.27777767181396
Fabricio Camoes,Jim Miller,Jim Miller,0,28,16,23,11,0,0,0,0,0,28,9,25,6,1,1,1,0,78,12,Submission,3,1,3:42,0,1,-0.562091588973999,0.562091588973999
Fabricio Camoes,Melvin Guillard,Melvin Guillard,0,92,33,74,18,11,1,0,1,0,125,57,101,37,1,1,0,0,126,83,Decision,3,3,5:00,0,1,-0.222222208976746,0.222222208976746
Fabricio Camoes,Tommy Hayden,Fabricio Camoes,0,33,26,13,6,4,1,1,0,0,23,9,21,7,3,2,0,0,67,80,Submission,3,1,4:03,1,0,-2.11111116409302,2.11111116409302
Farid Basharat,"Da'Mon Blackshear",Farid Basharat,0,115,76,96,58,6,3,0,0,0,164,91,117,46,6,1,1,1,328,158,Decision,3,3,5:00,1,0,8.66666674613953,-8.66666674613953
Farid Basharat,Kleydson Rodrigues,Farid Basharat,0,36,25,6,4,5,2,1,0,0,26,25,8,7,0,0,0,0,195,30,Submission,3,1,4:15,1,0,8.33333325386047,-8.33333325386047
Felice Herrig,Michelle Waterson-Gomez,Michelle Waterson-Gomez,0,126,70,100,51,4,1,0,0,0,163,131,107,76,4,0,0,0,358,169,Decision,3,3,5:00,0,1,-0.100000023841858,0.100000023841858
Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,0,228,97,216,86,5,0,0,0,0,262,140,248,126,3,0,0,1,105,71,Decision,3,3,5:00,0,1,-0.742857098579407,0.742857098579407
Felice Herrig,Virna Jandiroba,Virna Jandiroba,0,3,3,1,1,0,0,0,0,0,15,12,5,4,1,1,2,0,0,93,Submission,3,1,1:44,0,1,-4.93333351612091,4.93333351612091
Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,0,126,59,122,55,2,0,0,0,0,146,102,123,82,2,0,2,0,1,190,Submission,3,2,4:01,0,1,-0.742857098579407,0.742857098579407
Felice Herrig,Paige VanZant,Paige VanZant,0,67,44,47,28,4,0,1,1,0,241,199,92,67,5,2,0,2,163,633,Decision,3,3,5:00,0,1,-0.200000047683716,0.200000047683716
Felice Herrig,Justine Kish,Felice Herrig,0,182,131,93,47,5,2,1,0,0,84,50,72,40,2,0,0,1,564,104,Decision,3,3,5:00,1,0,-0.350000023841858,0.350000023841858
Felipe Arantes,Godofredo Pepey,Felipe Arantes,0,45,35,35,27,0,0,0,2,0,33,24,13,4,2,1,0,1,131,61,KO/TKO,3,1,3:32,1,0,-0.366666793823242,0.366666793823242
Felipe Arantes,Antonio Carvalho,Felipe Arantes,0,144,72,122,53,0,0,0,0,0,185,65,153,37,3,0,0,0,167,138,Decision,3,3,5:00,1,0,-0.700000047683716,0.700000047683716
Felipe Arantes,Yves Jabouin,Felipe Arantes,0,10,8,6,4,1,0,1,1,0,26,18,10,5,2,2,0,0,15,218,Submission,3,1,4:21,1,0,-1.81819200515747e-02,1.81819200515747e-02
Felipe Arantes,Maximo Blanco,Felipe Arantes,1,105,47,97,39,3,1,1,0,0,140,73,108,44,6,3,0,0,177,211,Decision,3,3,5:00,1,0,0.299999952316284,-0.299999952316284
Felipe Arantes,Song Yadong,Song Yadong,0,32,9,31,8,2,0,0,0,1,155,88,100,39,1,1,1,0,16,374,KO/TKO,3,2,4:59,0,1,-1.05714297294617,1.05714297294617
Felipe Arantes,Josh Emmett,Josh Emmett,0,136,44,134,43,1,0,0,0,4,231,78,211,67,2,1,0,0,0,165,Decision,3,3,5:00,0,1,-2.70000004768372,2.70000004768372
Felipe Arantes,Erik Perez,Erik Perez,0,76,42,68,34,0,0,2,1,0,177,103,96,36,5,3,0,1,116,426,Decision,3,3,5:00,0,1,-1.03333330154419,1.03333330154419
Felipe Arantes,Andre Fili,Andre Fili,0,78,43,63,29,5,3,1,2,0,135,66,102,42,8,5,1,2,314,392,Decision,3,3,5:00,0,1,-0.400000095367432,0.400000095367432
Felipe Arantes,Edimilson Souza,Edimilson Souza,0,117,68,78,35,5,3,1,0,0,164,75,136,52,0,0,0,0,309,0,Decision,3,3,5:00,0,1,-1.20000004768372,1.20000004768372
Felipe Arantes,Jerrod Sanders,Felipe Arantes,0,11,5,9,3,0,0,1,0,0,50,32,10,6,3,1,0,1,37,298,Submission,3,2,1:39,1,0,-3.53333353996277,3.53333353996277
Felipe Colares,Geraldo de Freitas,Geraldo de Freitas,0,60,28,51,21,8,3,0,0,0,96,68,76,49,9,6,0,2,252,396,Decision,3,3,5:00,0,1,0.5,-0.5
Felipe Colares,Chris Gutierrez,Chris Gutierrez,0,178,70,147,41,7,1,0,0,0,165,115,144,96,3,0,0,0,239,90,Decision,3,3,5:00,0,1,-1.29999995231628,1.29999995231628
Felipe Colares,Chase Hooper,Chase Hooper,0,46,43,23,21,4,2,0,3,0,188,140,93,60,7,4,3,5,254,424,KO/TKO,3,3,3:00,0,1,-1.5,1.5
Felipe Colares,Montel Jackson,Montel Jackson,0,31,8,28,7,8,1,3,0,1,130,96,103,75,15,11,0,0,82,637,Decision,3,3,5:00,0,1,-4,4
Felipe Colares,Luke Sanders,Felipe Colares,0,165,104,131,78,10,2,0,0,1,225,131,211,118,5,2,0,0,174,175,Decision,3,3,5:00,1,0,-9.99999046325684e-02,9.99999046325684e-02
Felipe Colares,Domingo Pilarte,Felipe Colares,0,132,92,42,23,8,2,0,0,0,89,69,21,11,5,2,1,1,398,370,Decision,3,3,5:00,1,0,-0.166666746139526,0.166666746139526
Felipe dos Santos,Manel Kape,Manel Kape,0,310,101,304,99,5,0,0,0,1,186,116,182,112,1,1,0,0,8,45,Decision,3,3,5:00,0,1,3.83333325386047,-3.83333325386047
Felipe Olivieri,Anthony Rocco Martin,Anthony Rocco Martin,0,159,94,150,87,1,0,0,0,0,147,64,141,60,7,2,1,0,19,241,Submission,3,3,3:02,0,1,-3.33333015441895e-02,3.33333015441895e-02
Felipe Silva,Mairbek Taisumov,Mairbek Taisumov,0,7,0,7,0,0,0,0,0,1,4,2,4,2,0,0,0,0,0,1,KO/TKO,3,1,1:24,0,1,-0.5,0.5
Felix Lee Mitchell,Ken Shamrock,Ken Shamrock,0,22,21,3,3,0,0,0,0,0,7,7,4,4,2,1,1,0,0,0,Submission,,1,4:34,0,1,-1.36134454607964,1.36134454607964
Fernando Bruno,Glaico Franca Moreira,Glaico Franca Moreira,0,53,41,32,20,11,2,0,0,0,57,47,31,23,9,4,1,0,336,400,Submission,3,3,4:46,0,1,0.75,-0.75
Fernando Bruno,Gray Maynard,Gray Maynard,0,119,47,101,32,7,2,1,0,0,85,42,71,30,7,3,1,1,148,401,Decision,3,3,5:00,0,1,1.89285719394684,-1.89285719394684
Fernie Garcia,Brady Hiestand,Brady Hiestand,0,125,86,44,21,2,1,1,1,0,82,56,34,19,8,3,1,0,82,554,Decision,3,3,5:00,0,1,-1.5,1.5
Fernie Garcia,Journey Newson,Journey Newson,0,104,38,103,37,0,0,0,0,0,150,63,143,57,3,2,0,0,2,42,Decision,3,3,5:00,0,1,0.5,-0.5
Fernie Garcia,Rinya Nakamura,Rinya Nakamura,0,106,50,66,15,0,0,1,0,0,84,56,57,36,4,4,3,0,0,566,Decision,3,3,5:00,0,1,-5.5,5.5
Filip Pejic,Damian Stasiak,Damian Stasiak,0,4,2,2,0,0,0,0,0,0,5,3,3,2,2,2,1,0,22,102,Submission,3,1,2:16,0,1,4.33333337306976,-4.33333337306976
Forrest Griffin,Quinton Jackson,Forrest Griffin,0,326,113,276,77,1,0,3,0,1,163,73,138,50,1,0,0,0,287,190,Decision,5,5,5:00,1,0,-0.36904764175415,0.36904764175415
Forrest Griffin,Elvis Sinosic,Forrest Griffin,1,82,30,82,30,0,0,0,0,0,47,18,47,18,0,0,0,0,6,0,KO/TKO,3,1,3:30,1,0,2.0779219865799,-2.0779219865799
Forrest Griffin,Bill Mahood,Forrest Griffin,0,33,32,4,3,1,1,1,0,0,2,2,1,1,0,0,0,0,124,0,Submission,3,1,2:18,1,0,-0.142857313156128,0.142857313156128
Forrest Griffin,Hector Ramirez,Forrest Griffin,0,248,115,246,113,1,0,0,0,0,74,20,74,20,3,2,0,0,9,36,Decision,3,3,5:00,1,0,1.04761898517609,-1.04761898517609
Forrest Griffin,Tito Ortiz,Tito Ortiz,0,200,81,170,58,0,0,0,0,0,163,94,125,61,12,3,0,0,14,301,Decision,3,3,5:00,0,1,1.13095223903656,-1.13095223903656
Forrest Griffin,Mauricio Rua,Forrest Griffin,0,214,146,130,66,2,2,3,2,0,105,53,75,27,12,5,0,0,337,291,Submission,3,3,4:45,1,0,0.785714149475098,-0.785714149475098
Forrest Griffin,Mauricio Rua,Mauricio Rua,0,19,3,19,3,0,0,0,0,1,30,16,29,16,0,0,0,0,0,7,KO/TKO,3,1,1:53,0,1,0.785714149475098,-0.785714149475098
Forrest Griffin,Tito Ortiz,Forrest Griffin,0,280,104,261,85,0,0,0,0,0,147,68,128,49,6,3,0,0,52,164,Decision,3,3,5:00,1,0,1.13095223903656,-1.13095223903656
Forrest Griffin,Anderson Silva,Anderson Silva,0,43,4,42,3,0,0,0,0,3,25,13,25,13,0,0,0,0,0,19,KO/TKO,3,1,3:23,0,1,-0.376623392105103,0.376623392105103
Forrest Griffin,Keith Jardine,Keith Jardine,0,56,17,56,17,1,0,0,0,0,63,36,63,36,0,0,0,0,0,11,KO/TKO,3,1,4:41,0,1,1.16883111000061,-1.16883111000061
Forrest Griffin,Tito Ortiz,Forrest Griffin,0,231,91,206,70,1,0,0,1,0,109,56,75,24,9,3,0,0,71,249,Decision,3,3,5:00,1,0,1.13095223903656,-1.13095223903656
Forrest Petz,Daniel Roberts,Daniel Roberts,0,97,47,69,21,1,1,0,0,0,93,45,44,5,9,6,2,0,56,433,Decision,3,3,5:00,0,1,0.45714282989502,-0.45714282989502
Francesco Maturi,Onassis Parungao,Onassis Parungao,,,,,,,,,,,,,,,,,,,0,0,KO/TKO,1,1,5:26,0,1,-2,2
Francimar Barroso,Nikita Krylov,Nikita Krylov,0,51,34,36,22,7,2,0,0,0,152,115,88,58,2,0,1,1,100,244,Submission,3,2,3:11,0,1,-0.61904764175415,0.61904764175415
Francimar Barroso,Ednaldo Oliveira,Francimar Barroso,0,103,69,63,31,5,2,0,0,0,84,30,71,19,1,0,0,0,220,194,Decision,3,3,5:00,1,0,-2.95238089561462,2.95238089561462
Francimar Barroso,Aleksandar Rakic,Aleksandar Rakic,0,69,36,55,24,14,2,0,0,0,179,75,150,46,0,0,0,0,96,13,Decision,3,3,5:00,0,1,-1.95238089561462,1.95238089561462
Francimar Barroso,Gian Villante,Gian Villante,0,128,74,128,74,0,0,0,0,0,209,74,209,74,0,0,0,0,0,0,Decision,3,3,5:00,0,1,1.49999988079071,-1.49999988079071
Francimar Barroso,Hans Stringer,Hans Stringer,0,114,76,67,36,8,3,0,0,0,135,98,77,44,8,1,0,0,181,352,Decision,3,3,5:00,0,1,-3.57143878936768e-02,3.57143878936768e-02
Francimar Barroso,Elvis Mutapcic,Francimar Barroso,0,132,90,95,57,10,1,0,0,0,148,65,120,38,0,0,0,0,194,0,Decision,3,3,5:00,1,0,0.214285612106323,-0.214285612106323
Francimar Barroso,Darren Stewart,Francimar Barroso,0,82,46,62,28,12,7,0,0,0,102,55,73,31,5,1,0,0,159,238,Decision,3,3,5:00,1,0,1.21428561210632,-1.21428561210632
Francimar Barroso,Ryan Jimmo,Francimar Barroso,0,117,67,96,46,14,0,0,0,0,74,46,61,35,0,0,0,0,397,24,Decision,3,3,5:00,1,0,-1.08571434020996,1.08571434020996
Francis Carmont,Constantinos Philippou,Francis Carmont,0,134,89,64,29,5,5,0,0,0,34,15,25,7,0,0,0,0,750,0,Decision,3,3,5:00,1,0,-0.516666650772095,0.516666650772095
