l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Macy Chiasson,Gina Mazany,Macy Chiasson,1,49,25,49,25,0,0,0,0,0,36,24,25,14,0,0,0,0,27,0,KO/TKO,3,1,1:49,1,0,1.83333337306976,-1.83333337306976
Macy Chiasson,Norma Dumont,Macy Chiasson,0,194,131,89,32,12,6,0,0,0,136,96,75,38,0,0,0,0,454,26,Decision,3,3,5:00,1,0,-2,2
Macy Chiasson,Pannie Kianzad,Macy Chiasson,1,64,37,50,24,6,0,2,0,0,50,30,39,19,2,0,1,0,331,13,Submission,3,2,2:11,1,0,0.571428537368774,-0.571428537368774
Macy Chiasson,Lina Lansberg,Lina Lansberg,0,94,58,47,26,4,0,0,0,0,91,49,39,21,4,2,0,0,347,465,Decision,3,3,5:00,0,1,1.75,-1.75
Macy Chiasson,Shanna Young,Macy Chiasson,0,253,154,166,86,8,3,0,0,0,83,50,71,40,1,0,0,0,513,22,Decision,3,3,5:00,1,0,1.5,-1.5
Macy Chiasson,Raquel Pennington,Raquel Pennington,0,126,64,86,26,2,1,0,0,0,95,61,79,45,0,0,1,0,78,69,Submission,3,2,3:07,0,1,1.33333337306976,-1.33333337306976
Macy Chiasson,Sarah Moras,Macy Chiasson,0,107,82,66,43,0,0,0,2,0,38,29,11,9,3,1,1,0,197,226,KO/TKO,3,2,2:22,1,0,2.25,-2.25
Mads Burnell,Michel Prazeres,Michel Prazeres,0,32,12,30,10,0,0,0,0,0,69,43,48,26,6,4,1,0,20,531,Submission,3,3,1:26,0,1,-3.5,3.5
Mads Burnell,Mike Santiago,Mads Burnell,0,169,110,34,20,7,3,1,1,0,127,95,79,51,3,3,2,1,553,271,Decision,3,3,5:00,1,0,1.41666662693024,-1.41666662693024
Magnus Cedenblad,Garreth McLellan,Magnus Cedenblad,1,44,21,44,21,0,0,0,0,0,33,12,33,12,0,0,0,0,1,0,KO/TKO,3,2,0:47,1,0,0.633333206176758,-0.633333206176758
Magnus Cedenblad,Jared Hamman,Magnus Cedenblad,0,13,4,13,4,0,0,1,0,0,8,3,8,3,1,0,0,0,8,1,Submission,3,1,0:57,1,0,0.466666698455811,-0.466666698455811
Magnus Cedenblad,Jack Marshman,Jack Marshman,0,136,78,83,36,3,3,0,0,2,107,50,91,42,0,0,0,0,270,13,KO/TKO,3,2,3:40,0,1,0.5,-0.5
Magnus Cedenblad,Krzysztof Jotko,Magnus Cedenblad,0,83,58,31,17,5,3,1,1,0,77,63,25,15,2,0,0,1,387,116,Submission,3,2,4:59,1,0,-1.20000004768372,1.20000004768372
Magomed Ankalaev,Nikita Krylov,Magomed Ankalaev,0,143,89,92,43,9,3,0,0,0,132,58,120,47,6,1,0,0,359,104,Decision,3,3,5:00,1,0,14.6666667461395,-14.6666667461395
